player_id,signup_date,acquisition_channel,country,preferred_currency,kyc_status,self_excluded
P00051,2024-02-26,organic,AO,USD,verified,false
P00052,2024-01-04,influencer,PT,USD,verified,false
P00053,2024-01-24,paid_social,BR,BRL,verified,false
P00054,2023-08-13,paid_social,BR,BRL,pending,false
P00055,2023-10-21,influencer,AO,USD,pending,false
P00056,2023-09-10,organic,PT,EUR,pending,false
P00057,2024-01-08,organic,BR,BRL,verified,false
P00058,2023-09-29,paid_social,BR,BRL,verified,false
P00059,2023-11-08,paid_social,AO,USD,verified,true
P00060,2023-10-16,seo,PT,EUR,verified,false
P00061,2023-09-26,seo,BR,BRL,verified,false
P00062,2023-09-02,seo,AO,USD,verified,false
P00063,2023-09-16,affiliate,BR,BRL,verified,false
P00064,2023-10-04,,PT,EUR,rejected,false
P00065,2023-08-11,affiliate,PT,EUR,verified,false
P00066,2023-12-23,organic,AO,USD,verified,false
P00067,2024-02-16,paid_social,PT,EUR,pending,false
P00068,2023-11-10,affiliate,AO,EUR,verified,false
P00069,2024-02-20,organic,AO,USD,verified,false
P00070,2024-03-05,seo,BR,BRL,verified,false
P00071,2023-09-15,organic,PT,EUR,pending,false
P00072,2023-12-30,paid_social,BR,BRL,verified,false
P00073,2023-11-06,organic,BR,BRL,verified,false
P00074,2023-12-21,paid_social,BR,BRL,verified,false
P00075,2024-01-13,paid_social,PT,EUR,verified,false
P00076,2023-11-03,seo,BR,BRL,verified,false
P00077,2023-10-04,organic,BR,BRL,verified,false
P00078,2024-02-06,influencer,BR,BRL,rejected,false
P00079,2023-09-15,affiliate,BR,BRL,rejected,false
P00080,2024-01-11,paid_social,PT,EUR,verified,false
P00081,2023-10-04,paid_social,AO,USD,verified,false
P00082,2024-02-24,affiliate,BR,BRL,verified,false
P00083,2024-02-15,seo,BR,BRL,verified,false
P00084,2024-01-04,affiliate,AO,BRL,verified,false
P00085,2023-08-01,seo,BR,BRL,verified,false
P00086,2023-08-19,influencer,BR,BRL,pending,false
P00087,2023-09-08,,AO,USD,verified,false
P00088,2023-11-21,seo,BR,BRL,verified,false
P00089,2024-03-15,,BR,BRL,verified,false
P00090,2024-02-12,paid_social,BR,BRL,verified,false
P00091,2023-09-16,seo,AO,USD,verified,false
P00092,2024-03-07,seo,BR,BRL,pending,false
P00093,2023-08-23,seo,BR,BRL,pending,false
P00094,2023-11-14,influencer,BR,BRL,verified,false
P00095,2023-10-13,,BR,BRL,verified,false
P00096,2023-12-20,affiliate,BR,BRL,pending,false
P00097,2023-12-06,organic,AO,USD,verified,false
P00098,2023-11-07,affiliate,BR,BRL,verified,false
P00099,2023-10-08,organic,PT,EUR,verified,false
P00100,2023-12-16,influencer,BR,BRL,pending,false
P00101,2023-12-25,,BR,BRL,verified,false
P00102,2024-01-17,affiliate,PT,EUR,verified,false
P00103,2024-03-11,paid_social,PT,USD,verified,false
P00104,2024-02-17,seo,AO,USD,pending,false
P00105,2023-10-21,seo,BR,BRL,verified,false
P00106,2023-09-28,paid_social,PT,EUR,verified,false
P00107,2023-08-08,organic,BR,BRL,verified,false
P00108,2024-02-19,seo,BR,EUR,verified,false
P00109,2024-01-11,paid_social,BR,BRL,verified,false
P00110,2023-11-22,organic,AO,USD,verified,false
P00111,2023-11-07,influencer,PT,USD,verified,true
P00112,2023-10-10,paid_social,BR,BRL,verified,false
P00113,2024-01-03,affiliate,PT,EUR,verified,false
P00114,2024-01-08,paid_social,BR,BRL,verified,false
P00115,2023-10-15,affiliate,BR,BRL,verified,true
P00116,2023-10-05,organic,AO,USD,verified,false
P00117,2024-02-10,seo,AO,USD,pending,false
P00118,2023-10-07,organic,BR,BRL,pending,true
P00119,2023-08-07,organic,BR,BRL,verified,false
P00120,2024-01-27,,BR,BRL,verified,true
P00121,2023-11-08,influencer,BR,BRL,verified,false
P00122,2024-03-01,,BR,BRL,verified,false
P00123,2023-11-01,influencer,BR,BRL,verified,false
P00124,2024-03-05,influencer,PT,BRL,verified,false
P00125,2023-12-23,influencer,BR,BRL,verified,false
P00126,2024-02-18,affiliate,AO,BRL,verified,false
P00127,2023-08-04,influencer,BR,BRL,verified,false
P00128,2023-08-30,organic,PT,EUR,verified,false
P00129,2024-02-03,influencer,PT,EUR,verified,false
P00130,2023-11-11,,BR,EUR,verified,false
P00131,2024-01-07,organic,BR,BRL,verified,false
P00132,2023-08-26,influencer,PT,EUR,verified,false
P00133,2024-02-28,paid_social,BR,BRL,verified,false
P00134,2023-08-18,paid_social,BR,USD,verified,false
P00135,2023-12-22,seo,BR,USD,verified,false
P00136,2023-08-27,seo,BR,BRL,verified,false
P00137,2023-10-11,influencer,BR,BRL,pending,false
P00138,2024-01-03,,AO,USD,verified,false
P00139,2023-08-02,,BR,EUR,verified,false
P00140,2023-09-25,affiliate,BR,BRL,verified,false
P00141,2024-03-14,paid_social,BR,EUR,verified,false
P00142,2023-11-15,paid_social,BR,BRL,verified,false
P00143,2024-01-18,,BR,BRL,verified,false
P00144,2023-10-14,seo,BR,EUR,verified,false
P00145,2023-08-19,,BR,BRL,pending,false
P00146,2023-11-12,paid_social,PT,EUR,rejected,false
P00147,2024-02-29,seo,BR,BRL,verified,false
P00148,2024-03-10,organic,BR,BRL,verified,false
P00149,2024-02-15,affiliate,BR,BRL,verified,false
P00150,2023-08-20,seo,BR,BRL,verified,false
P00151,2024-01-12,organic,BR,BRL,verified,false
P00152,2023-12-30,organic,BR,BRL,verified,false
P00153,2024-03-09,influencer,AO,EUR,verified,false
P00154,2023-11-24,affiliate,AO,USD,verified,false
P00155,2024-02-24,paid_social,PT,EUR,verified,false
P00156,2023-12-13,organic,BR,USD,verified,false
P00157,2024-01-13,influencer,BR,BRL,verified,false
P00158,2024-03-11,affiliate,BR,EUR,verified,false
P00159,2023-12-31,seo,PT,EUR,verified,false
P00160,2023-12-13,influencer,BR,BRL,verified,false
P00161,2023-12-03,,BR,BRL,pending,false
P00162,2024-02-06,influencer,PT,USD,verified,false
P00163,2024-01-07,paid_social,PT,USD,verified,false
P00164,2024-02-09,influencer,PT,EUR,rejected,false
P00165,2023-11-03,seo,BR,BRL,verified,false
P00166,2024-02-26,,BR,BRL,verified,false
P00167,2024-03-05,organic,BR,BRL,verified,false
P00168,2024-02-26,paid_social,BR,BRL,verified,false
P00169,2023-11-04,paid_social,BR,BRL,verified,false
P00170,2024-02-29,seo,BR,BRL,verified,false
P00171,2023-12-19,seo,AO,USD,verified,true
P00172,2024-01-11,paid_social,PT,EUR,verified,false
P00173,2023-10-01,paid_social,PT,EUR,verified,false
P00174,2023-12-13,influencer,AO,EUR,rejected,false
P00175,2023-08-12,organic,BR,BRL,verified,false
P00176,2024-01-08,organic,BR,BRL,verified,false
P00177,2024-01-26,paid_social,BR,BRL,pending,false
P00178,2024-03-14,influencer,BR,BRL,pending,true
P00179,2023-10-13,organic,BR,BRL,verified,false
P00180,2023-11-07,seo,BR,EUR,verified,false
P00181,2023-08-21,affiliate,BR,BRL,verified,false
P00182,2023-11-23,seo,BR,BRL,verified,false
P00183,2023-10-10,,BR,BRL,verified,false
P00184,2023-09-10,,AO,EUR,verified,false
P00185,2023-12-24,organic,BR,USD,verified,false
P00186,2023-10-20,,BR,BRL,verified,false
P00187,2023-10-07,affiliate,PT,EUR,verified,false
P00188,2023-09-04,seo,PT,EUR,pending,false
P00189,2023-10-28,organic,PT,EUR,pending,false
P00190,2024-02-20,affiliate,BR,BRL,verified,false
P00191,2023-11-03,affiliate,BR,BRL,verified,false
P00192,2023-12-13,,BR,BRL,rejected,false
P00193,2023-12-11,influencer,BR,BRL,verified,false
P00194,2023-08-15,organic,PT,EUR,verified,false
P00195,2023-10-12,influencer,PT,EUR,verified,false
P00196,2023-09-13,affiliate,BR,BRL,verified,false
P00197,2023-08-11,influencer,PT,BRL,verified,false
P00198,2023-12-06,organic,PT,EUR,pending,false
P00199,2024-01-24,seo,BR,BRL,verified,false
P00200,2024-02-04,seo,AO,USD,verified,false
P00201,2023-09-01,,BR,BRL,pending,false
P00202,2024-02-25,organic,BR,BRL,verified,false
P00203,2023-12-06,influencer,BR,BRL,verified,true
P00204,2023-12-05,seo,BR,BRL,verified,false
P00205,2024-02-03,paid_social,BR,BRL,verified,false
P00206,2023-11-07,organic,BR,BRL,verified,false
P00207,2023-11-09,influencer,BR,BRL,verified,false
P00208,2023-08-11,seo,BR,USD,verified,false
P00209,2023-10-21,organic,BR,BRL,verified,false
P00210,2023-10-16,paid_social,BR,USD,verified,false
P00211,2023-08-07,influencer,BR,BRL,verified,false
P00212,2024-02-01,affiliate,BR,BRL,verified,false
P00213,2023-08-05,seo,BR,BRL,verified,false
P00214,2024-03-05,influencer,PT,BRL,verified,false
P00215,2023-09-14,influencer,BR,BRL,verified,false
P00216,2023-10-07,organic,BR,BRL,verified,false
P00217,2024-01-28,organic,BR,BRL,verified,false
P00218,2023-09-01,seo,BR,BRL,rejected,false
P00219,2024-01-30,organic,BR,BRL,verified,false
P00220,2024-01-26,influencer,BR,EUR,verified,false
P00221,2023-08-14,seo,BR,BRL,verified,false
P00222,2023-11-13,seo,BR,BRL,verified,false
P00223,2024-02-13,influencer,BR,BRL,pending,false
P00224,2024-03-13,paid_social,PT,EUR,verified,false
P00225,2024-03-12,influencer,BR,BRL,rejected,false
P00226,2023-12-13,influencer,BR,BRL,verified,false
P00227,2024-01-13,organic,BR,EUR,verified,false
P00228,2024-02-28,seo,BR,BRL,verified,false
P00229,2023-08-02,organic,BR,BRL,verified,true
P00230,2023-11-01,seo,BR,BRL,verified,false
P00231,2024-01-24,organic,BR,BRL,verified,false
P00232,2024-02-08,influencer,AO,USD,verified,false
P00233,2023-10-03,paid_social,BR,BRL,verified,false
P00234,2023-08-16,affiliate,PT,EUR,verified,false
P00235,2024-01-22,paid_social,BR,BRL,verified,false
P00236,2023-11-25,organic,BR,BRL,verified,false
P00237,2023-08-12,influencer,BR,BRL,pending,false
P00238,2023-10-13,seo,BR,BRL,pending,false
P00239,2023-11-05,influencer,BR,BRL,pending,false
P00240,2023-12-14,paid_social,BR,BRL,rejected,false
P00241,2023-12-15,seo,BR,BRL,verified,false
P00242,2023-08-09,paid_social,PT,EUR,verified,false
P00243,2024-01-28,paid_social,PT,EUR,verified,false
P00244,2023-09-05,influencer,BR,BRL,verified,false
P00245,2024-03-12,affiliate,BR,BRL,verified,false
P00246,2024-01-08,paid_social,BR,BRL,pending,false
P00247,2024-01-26,affiliate,BR,USD,verified,false
P00248,2024-02-23,seo,BR,USD,verified,false
P00249,2023-11-24,,PT,EUR,verified,true
P00250,2023-09-18,influencer,PT,EUR,verified,false
