bet_id,player_id,bet_ts,stake,currency,product,payout,is_currency_valid,stake_brl,payout_brl,ggr_brl,_ingested_at
B0000059,P00005,2023-09-06T08:58:00.000Z,29.39,USD,sports,0.00,true,147.9,0.0,147.9,2026-07-31T12:59:56.604Z
B0000060,P00005,2023-09-19T14:27:00.000Z,95.16,USD,casino,291.85,true,484.61,1486.26,-1001.65,2026-07-31T12:59:56.604Z
B0000061,P00006,2024-03-25T15:20:00.000Z,305.51,BRL,sports,762.85,true,305.51,762.85,-457.34,2026-07-31T12:59:56.604Z
B0000062,P00006,2024-03-11T05:19:00.000Z,253.77,BRL,casino,420.98,true,253.77,420.98,-167.21,2026-07-31T12:59:56.604Z
B0000063,P00006,2024-03-02T01:33:00.000Z,783.49,BRL,casino,0.00,true,783.49,0.0,783.49,2026-07-31T12:59:56.604Z
B0000064,P00006,2024-03-12T09:27:00.000Z,935.21,BRL,casino,0.00,true,935.21,0.0,935.21,2026-07-31T12:59:56.604Z
B0000065,P00006,2024-02-23T00:49:00.000Z,463.98,BRL,casino,0.00,true,463.98,0.0,463.98,2026-07-31T12:59:56.604Z
B0000066,P00006,2024-02-02T10:08:00.000Z,617.13,BRL,casino,1084.97,true,617.13,1084.97,-467.84,2026-07-31T12:59:56.604Z
B0000067,P00006,2024-01-31T18:55:00.000Z,395.70,BRL,casino,480.26,true,395.7,480.26,-84.56,2026-07-31T12:59:56.604Z
B0000068,P00006,2024-03-21T01:38:00.000Z,273.82,BRL,sports,0.00,true,273.82,0.0,273.82,2026-07-31T12:59:56.604Z
B0000069,P00006,2024-03-20T16:43:00.000Z,484.06,BRL,sports,648.64,true,484.06,648.64,-164.58,2026-07-31T12:59:56.604Z
B0000070,P00006,2024-03-12T10:14:00.000Z,148.43,BRL,sports,0.00,true,148.43,0.0,148.43,2026-07-31T12:59:56.604Z
B0000071,P00006,2024-02-16T18:39:00.000Z,720.55,BRL,sports,0.00,true,720.55,0.0,720.55,2026-07-31T12:59:56.604Z
B0000072,P00006,2024-02-04T02:30:00.000Z,605.77,BRL,sports,861.88,true,605.77,861.88,-256.11,2026-07-31T12:59:56.604Z
B0000073,P00007,2024-02-29T02:15:00.000Z,303.42,BRL,casino,0.00,true,303.42,0.0,303.42,2026-07-31T12:59:56.604Z
B0000074,P00007,2024-03-28T08:40:00.000Z,150.52,EUR,sports,0.00,true,815.31,0.0,815.31,2026-07-31T12:59:56.604Z
B0000075,P00007,2024-02-02T11:30:00.000Z,115.40,EUR,casino,335.33,true,605.11,1758.34,-1153.23,2026-07-31T12:59:56.604Z
B0000076,P00007,2024-02-16T06:17:00.000Z,18.40,EUR,casino,0.00,true,96.7,0.0,96.7,2026-07-31T12:59:56.604Z
B0000077,P00007,2024-02-28T00:29:00.000Z,19.68,EUR,sports,42.85,true,103.67,225.73,-122.06,2026-07-31T12:59:56.604Z
B0000078,P00007,2024-03-22T14:28:00.000Z,102.01,EUR,sports,275.02,true,543.16,1464.37,-921.21,2026-07-31T12:59:56.604Z
B0000079,P00007,2024-02-24T04:10:00.000Z,82.42,EUR,casino,0.00,true,432.0,0.0,432.0,2026-07-31T12:59:56.604Z
B0000080,P00007,2024-03-14T07:04:00.000Z,88.56,EUR,sports,250.12,true,472.63,1334.84,-862.21,2026-07-31T12:59:56.604Z
B0000081,P00007,2024-01-29T18:17:00.000Z,126.14,EUR,casino,358.86,true,663.53,1887.71,-1224.18,2026-07-31T12:59:56.604Z
B0000082,P00007,2024-02-29T13:11:00.000Z,85.17,EUR,casino,0.00,true,450.11,0.0,450.11,2026-07-31T12:59:56.604Z
B0000083,P00007,2024-01-26T12:53:00.000Z,103.46,EUR,casino,0.00,true,543.28,0.0,543.28,2026-07-31T12:59:56.604Z
B0000084,P00007,2024-01-18T22:30:00.000Z,28.70,EUR,casino,41.45,true,150.65,217.57,-66.92,2026-07-31T12:59:56.604Z
B0000085,P00007,2024-02-08T03:57:00.000Z,141.69,EUR,sports,0.00,true,743.93,0.0,743.93,2026-07-31T12:59:56.604Z
B0000086,P00007,2024-02-28T01:54:00.000Z,74.09,EUR,sports,193.18,true,390.31,1017.67,-627.36,2026-07-31T12:59:56.604Z
B0000087,P00007,2024-03-06T21:20:00.000Z,106.54,EUR,sports,0.00,true,564.56,0.0,564.56,2026-07-31T12:59:56.604Z
B0000088,P00007,2024-03-07T02:16:00.000Z,173.06,EUR,casino,0.00,true,912.11,0.0,912.11,2026-07-31T12:59:56.604Z
B0000089,P00007,2024-03-06T08:33:00.000Z,40.24,EUR,sports,0.00,true,213.23,0.0,213.23,2026-07-31T12:59:56.604Z
B0000090,P00007,2024-01-21T02:51:00.000Z,110.47,EUR,sports,0.00,true,577.03,0.0,577.03,2026-07-31T12:59:56.604Z
B0000091,P00007,2024-01-10T00:11:00.000Z,72.00,EUR,casino,0.00,true,380.08,0.0,380.08,2026-07-31T12:59:56.604Z
B0000092,P00007,2024-02-03T06:39:00.000Z,100.24,EUR,sports,0.00,true,525.62,0.0,525.62,2026-07-31T12:59:56.604Z
B0000093,P00007,2024-01-18T12:08:00.000Z,109.83,EUR,casino,0.00,true,576.5,0.0,576.5,2026-07-31T12:59:56.604Z
B0000094,P00007,2024-01-22T00:52:00.000Z,56.22,BRL,casino,0.00,true,56.22,0.0,56.22,2026-07-31T12:59:56.604Z
B0000095,P00007,2024-02-11T02:18:00.000Z,63.28,EUR,sports,0.00,true,333.56,0.0,333.56,2026-07-31T12:59:56.604Z
B0000096,P00007,2024-03-18T10:25:00.000Z,149.46,EUR,sports,0.00,true,794.8,0.0,794.8,2026-07-31T12:59:56.604Z
B0000097,P00007,2024-03-19T21:16:00.000Z,20.29,EUR,sports,0.00,true,108.26,0.0,108.26,2026-07-31T12:59:56.604Z
B0000098,P00007,2024-01-14T01:35:00.000Z,46.39,EUR,casino,137.26,true,243.34,720.0,-476.66,2026-07-31T12:59:56.604Z
B0000099,P00007,2024-01-17T21:44:00.000Z,13.69,EUR,sports,0.00,true,71.45,0.0,71.45,2026-07-31T12:59:56.604Z
B0000100,P00007,2024-02-23T13:05:00.000Z,166.28,EUR,casino,0.00,true,871.54,0.0,871.54,2026-07-31T12:59:56.604Z
B0000101,P00007,2024-01-26T14:27:00.000Z,8.26,EUR,casino,19.56,true,43.37,102.71,-59.34,2026-07-31T12:59:56.604Z
B0000102,P00007,2024-02-17T00:50:00.000Z,153.50,EUR,sports,512.98,true,806.67,2695.81,-1889.14,2026-07-31T12:59:56.604Z
B0000103,P00008,2024-03-05T07:24:00.000Z,23.00,BRL,sports,0.00,true,23.0,0.0,23.0,2026-07-31T12:59:56.604Z
B0000104,P00008,2024-01-01T13:57:00.000Z,551.80,BRL,casino,811.91,true,551.8,811.91,-260.11,2026-07-31T12:59:56.604Z
B0000105,P00008,2023-12-12T12:14:00.000Z,439.34,BRL,casino,761.67,true,439.34,761.67,-322.33,2026-07-31T12:59:56.604Z
B0000106,P00008,2024-01-28T18:04:00.000Z,990.98,BRL,sports,2829.84,true,990.98,2829.84,-1838.86,2026-07-31T12:59:56.604Z
B0000107,P00008,2023-10-15T21:18:00.000Z,286.18,BRL,sports,739.93,true,286.18,739.93,-453.75,2026-07-31T12:59:56.604Z
B0000108,P00008,2024-02-15T01:34:00.000Z,659.29,BRL,sports,0.00,true,659.29,0.0,659.29,2026-07-31T12:59:56.604Z
B0000109,P00008,2024-01-17T20:28:00.000Z,814.36,BRL,casino,0.00,true,814.36,0.0,814.36,2026-07-31T12:59:56.604Z
B0000110,P00008,2023-12-15T11:17:00.000Z,296.22,BRL,casino,0.00,true,296.22,0.0,296.22,2026-07-31T12:59:56.604Z
B0000111,P00008,2024-01-29T15:39:00.000Z,58.73,BRL,casino,0.00,true,58.73,0.0,58.73,2026-07-31T12:59:56.604Z
B0000112,P00008,2023-11-23T05:35:00.000Z,842.22,BRL,sports,0.00,true,842.22,0.0,842.22,2026-07-31T12:59:56.604Z
B0000113,P00008,2023-10-14T15:41:00.000Z,817.30,BRL,casino,2819.02,true,817.3,2819.02,-2001.72,2026-07-31T12:59:56.604Z
B0000114,P00008,2023-10-12T04:05:00.000Z,273.95,BRL,sports,0.00,true,273.95,0.0,273.95,2026-07-31T12:59:56.604Z
B0000115,P00008,2023-11-23T08:14:00.000Z,387.02,BRL,sports,804.98,true,387.02,804.98,-417.96,2026-07-31T12:59:56.604Z
B0000116,P00008,2023-12-19T11:22:00.000Z,433.93,BRL,sports,825.27,true,433.93,825.27,-391.34,2026-07-31T12:59:56.604Z
B0000117,P00008,2024-02-15T03:48:00.000Z,339.54,BRL,sports,0.00,true,339.54,0.0,339.54,2026-07-31T12:59:56.604Z
B0000118,P00008,2023-09-20T16:47:00.000Z,830.09,BRL,sports,1812.39,true,830.09,1812.39,-982.3,2026-07-31T12:59:56.604Z
B0000119,P00008,2023-10-10T04:34:00.000Z,952.71,BRL,casino,0.00,true,952.71,0.0,952.71,2026-07-31T12:59:56.604Z
B0000120,P00008,2023-12-30T02:24:00.000Z,570.46,BRL,casino,0.00,true,570.46,0.0,570.46,2026-07-31T12:59:56.604Z
B0000121,P00008,2023-11-12T04:15:00.000Z,284.30,BRL,casino,0.00,true,284.3,0.0,284.3,2026-07-31T12:59:56.604Z
B0000122,P00008,2023-12-08T03:41:00.000Z,43.41,BRL,sports,78.92,true,43.41,78.92,-35.51,2026-07-31T12:59:56.604Z
B0000123,P00008,2023-10-14T19:28:00.000Z,662.47,BRL,casino,0.00,true,662.47,0.0,662.47,2026-07-31T12:59:56.604Z
B0000124,P00008,2023-09-17T09:54:00.000Z,469.11,BRL,sports,0.00,true,469.11,0.0,469.11,2026-07-31T12:59:56.604Z
B0000125,P00008,2023-12-26T05:04:00.000Z,280.06,BRL,casino,0.00,true,280.06,0.0,280.06,2026-07-31T12:59:56.604Z
B0000126,P00008,2023-10-29T03:11:00.000Z,787.80,BRL,sports,1842.14,true,787.8,1842.14,-1054.34,2026-07-31T12:59:56.604Z
B0000127,P00008,2024-02-18T02:32:00.000Z,236.51,BRL,casino,0.00,true,236.51,0.0,236.51,2026-07-31T12:59:56.604Z
B0000128,P00008,2024-02-08T23:16:00.000Z,555.64,BRL,sports,1883.02,true,555.64,1883.02,-1327.38,2026-07-31T12:59:56.604Z
B0000129,P00008,2024-03-04T00:15:00.000Z,850.16,BRL,casino,0.00,true,850.16,0.0,850.16,2026-07-31T12:59:56.604Z
B0000130,P00011,2024-02-08T19:26:00.000Z,240.79,BRL,sports,494.61,true,240.79,494.61,-253.82,2026-07-31T12:59:56.604Z
B0000131,P00011,2024-02-13T05:26:00.000Z,147.36,BRL,casino,443.96,true,147.36,443.96,-296.6,2026-07-31T12:59:56.604Z
B0000132,P00011,2024-02-14T04:09:00.000Z,297.59,BRL,sports,609.19,true,297.59,609.19,-311.6,2026-07-31T12:59:56.604Z
B0000133,P00011,2024-02-08T18:32:00.000Z,808.99,BRL,casino,0.00,true,808.99,0.0,808.99,2026-07-31T12:59:56.604Z
B0000134,P00011,2024-02-10T02:48:00.000Z,584.77,BRL,sports,0.00,true,584.77,0.0,584.77,2026-07-31T12:59:56.604Z
B0000135,P00011,2024-02-08T23:40:00.000Z,992.36,BRL,casino,0.00,true,992.36,0.0,992.36,2026-07-31T12:59:56.604Z
B0000136,P00011,2024-02-15T00:30:00.000Z,848.36,BRL,casino,0.00,true,848.36,0.0,848.36,2026-07-31T12:59:56.604Z
B0000137,P00011,2024-02-12T03:49:00.000Z,836.83,BRL,casino,1473.88,true,836.83,1473.88,-637.05,2026-07-31T12:59:56.604Z
B0000138,P00011,2024-02-10T16:56:00.000Z,749.45,BRL,casino,1314.84,true,749.45,1314.84,-565.39,2026-07-31T12:59:56.604Z
B0000139,P00012,2023-12-14T14:38:00.000Z,508.12,BRL,sports,0.00,true,508.12,0.0,508.12,2026-07-31T12:59:56.604Z
B0000140,P00012,2024-01-06T23:59:00.000Z,233.61,BRL,sports,0.00,true,233.61,0.0,233.61,2026-07-31T12:59:56.604Z
B0000141,P00012,2024-01-27T13:50:00.000Z,675.73,BRL,casino,0.00,true,675.73,0.0,675.73,2026-07-31T12:59:56.604Z
B0000142,P00012,2023-12-30T12:40:00.000Z,86.10,BRL,sports,298.03,true,86.1,298.03,-211.93,2026-07-31T12:59:56.604Z
B0000143,P00012,2023-12-20T11:59:00.000Z,20.43,BRL,casino,36.89,true,20.43,36.89,-16.46,2026-07-31T12:59:56.604Z
B0000144,P00012,2024-01-25T00:32:00.000Z,834.69,BRL,casino,1322.11,true,834.69,1322.11,-487.42,2026-07-31T12:59:56.604Z
B0000145,P00012,2024-01-05T16:07:00.000Z,405.31,BRL,casino,0.00,true,405.31,0.0,405.31,2026-07-31T12:59:56.604Z
B0000146,P00012,2023-12-30T00:47:00.000Z,618.55,BRL,casino,0.00,true,618.55,0.0,618.55,2026-07-31T12:59:56.604Z
B0000147,P00012,2024-01-06T08:48:00.000Z,632.68,BRL,casino,0.00,true,632.68,0.0,632.68,2026-07-31T12:59:56.604Z
B0000148,P00012,2024-01-22T19:32:00.000Z,725.09,BRL,sports,0.00,true,725.09,0.0,725.09,2026-07-31T12:59:56.604Z
B0000149,P00012,2023-12-18T07:28:00.000Z,595.59,BRL,sports,1604.30,true,595.59,1604.3,-1008.71,2026-07-31T12:59:56.604Z
B0000150,P00012,2024-01-10T03:31:00.000Z,282.90,BRL,casino,0.00,true,282.9,0.0,282.9,2026-07-31T12:59:56.604Z
B0000151,P00012,2023-12-12T19:27:00.000Z,897.82,BRL,casino,0.00,true,897.82,0.0,897.82,2026-07-31T12:59:56.604Z
B0000152,P00012,2023-12-29T00:47:00.000Z,758.51,BRL,sports,0.00,true,758.51,0.0,758.51,2026-07-31T12:59:56.604Z
B0000153,P00012,2024-01-05T01:18:00.000Z,577.26,BRL,sports,0.00,true,577.26,0.0,577.26,2026-07-31T12:59:56.604Z
B0000154,P00012,2023-12-16T22:16:00.000Z,489.20,BRL,sports,777.55,true,489.2,777.55,-288.35,2026-07-31T12:59:56.604Z
B0000155,P00012,2023-12-23T17:01:00.000Z,145.30,BRL,sports,454.68,true,145.3,454.68,-309.38,2026-07-31T12:59:56.604Z
B0000156,P00012,2024-01-12T19:23:00.000Z,199.16,BRL,sports,0.00,true,199.16,0.0,199.16,2026-07-31T12:59:56.604Z
B0000157,P00012,2023-12-27T10:53:00.000Z,573.31,BRL,casino,0.00,true,573.31,0.0,573.31,2026-07-31T12:59:56.604Z
B0000158,P00012,2023-12-27T01:56:00.000Z,717.67,BRL,casino,0.00,true,717.67,0.0,717.67,2026-07-31T12:59:56.604Z
B0000159,P00012,2024-01-09T16:07:00.000Z,865.18,BRL,casino,0.00,true,865.18,0.0,865.18,2026-07-31T12:59:56.604Z
B0000160,P00012,2023-12-14T05:29:00.000Z,226.33,BRL,sports,353.18,true,226.33,353.18,-126.85,2026-07-31T12:59:56.604Z
B0000161,P00012,2024-01-23T15:33:00.000Z,892.81,BRL,casino,1277.62,true,892.81,1277.62,-384.81,2026-07-31T12:59:56.604Z
B0000162,P00012,2023-12-21T00:40:00.000Z,662.82,BRL,sports,0.00,true,662.82,0.0,662.82,2026-07-31T12:59:56.604Z
B0000163,P00013,2023-12-11T09:31:00.000Z,872.75,BRL,sports,1440.09,true,872.75,1440.09,-567.34,2026-07-31T12:59:56.604Z
B0000164,P00013,2024-03-12T22:54:00.000Z,202.58,BRL,sports,0.00,true,202.58,0.0,202.58,2026-07-31T12:59:56.604Z
B0000165,P00013,2023-11-06T16:02:00.000Z,493.24,BRL,casino,0.00,true,493.24,0.0,493.24,2026-07-31T12:59:56.604Z
B0000166,P00014,2024-03-19T09:42:00.000Z,585.98,BRL,sports,0.00,true,585.98,0.0,585.98,2026-07-31T12:59:56.604Z
B0000167,P00014,2024-02-28T10:40:00.000Z,875.66,BRL,casino,0.00,true,875.66,0.0,875.66,2026-07-31T12:59:56.604Z
B0000168,P00014,2024-03-18T20:48:00.000Z,483.55,BRL,casino,705.23,true,483.55,705.23,-221.68,2026-07-31T12:59:56.604Z
B0000169,P00014,2024-03-06T01:29:00.000Z,328.77,BRL,casino,0.00,true,328.77,0.0,328.77,2026-07-31T12:59:56.604Z
B0000170,P00014,2024-03-22T19:55:00.000Z,70.27,EUR,casino,226.90,true,374.16,1208.15,-833.99,2026-07-31T12:59:56.604Z
B0000171,P00014,2024-03-18T20:50:00.000Z,238.69,BRL,casino,565.03,true,238.69,565.03,-326.34,2026-07-31T12:59:56.604Z
B0000172,P00016,2023-10-23T08:16:00.000Z,414.17,BRL,sports,0.00,true,414.17,0.0,414.17,2026-07-31T12:59:56.604Z
B0000173,P00016,2023-10-24T00:28:00.000Z,222.85,BRL,casino,0.00,true,222.85,0.0,222.85,2026-07-31T12:59:56.604Z
B0000174,P00016,2023-10-18T22:39:00.000Z,170.70,BRL,casino,450.33,true,170.7,450.33,-279.63,2026-07-31T12:59:56.604Z
B0000175,P00016,2023-10-06T18:05:00.000Z,24.82,BRL,casino,0.00,true,24.82,0.0,24.82,2026-07-31T12:59:56.604Z
B0000176,P00016,2024-01-14T02:34:00.000Z,767.18,BRL,sports,1007.46,true,767.18,1007.46,-240.28,2026-07-31T12:59:56.604Z
B0000177,P00016,2023-10-10T04:10:00.000Z,398.55,BRL,casino,0.00,true,398.55,0.0,398.55,2026-07-31T12:59:56.604Z
B0000178,P00016,2023-11-01T19:48:00.000Z,555.19,BRL,sports,683.65,true,555.19,683.65,-128.46,2026-07-31T12:59:56.604Z
B0000179,P00016,2023-11-23T03:49:00.000Z,487.48,BRL,sports,922.98,true,487.48,922.98,-435.5,2026-07-31T12:59:56.604Z
B0000180,P00016,2023-09-24T14:08:00.000Z,128.02,BRL,casino,0.00,true,128.02,0.0,128.02,2026-07-31T12:59:56.604Z
B0000181,P00016,2024-01-08T16:01:00.000Z,506.99,BRL,sports,0.00,true,506.99,0.0,506.99,2026-07-31T12:59:56.604Z
B0000182,P00016,2023-12-24T18:12:00.000Z,606.85,BRL,casino,1755.32,true,606.85,1755.32,-1148.47,2026-07-31T12:59:56.604Z
B0000183,P00016,2023-12-29T02:16:00.000Z,514.79,BRL,casino,942.23,true,514.79,942.23,-427.44,2026-07-31T12:59:56.604Z
B0000184,P00016,2023-11-07T12:30:00.000Z,97.60,BRL,casino,0.00,true,97.6,0.0,97.6,2026-07-31T12:59:56.604Z
B0000185,P00016,2024-01-14T16:23:00.000Z,509.06,BRL,sports,1773.69,true,509.06,1773.69,-1264.63,2026-07-31T12:59:56.604Z
B0000186,P00016,2023-11-16T06:36:00.000Z,975.31,BRL,sports,1691.06,true,975.31,1691.06,-715.75,2026-07-31T12:59:56.604Z
B0000187,P00016,2023-12-11T01:35:00.000Z,148.05,BRL,sports,0.00,true,148.05,0.0,148.05,2026-07-31T12:59:56.604Z
B0000188,P00016,2023-10-16T13:30:00.000Z,492.36,BRL,sports,750.88,true,492.36,750.88,-258.52,2026-07-31T12:59:56.604Z
B0000189,P00016,2023-09-27T02:20:00.000Z,255.76,BRL,casino,505.66,true,255.76,505.66,-249.9,2026-07-31T12:59:56.604Z
B0000190,P00016,2024-01-09T10:31:00.000Z,37.41,EUR,casino,0.00,true,197.44,0.0,197.44,2026-07-31T12:59:56.604Z
