BRL,USD,base_currency,rate_date,used_fallback_source,_ingested_at
5.3673,1.0525,EUR,2023-10-17,false,2026-07-31T14:16:33.762Z
5.384,1.0528,EUR,2023-10-18,false,2026-07-31T14:16:33.762Z
5.3541,1.051,EUR,2023-10-19,false,2026-07-31T14:16:33.762Z
5.3252,1.0553,EUR,2023-10-20,false,2026-07-31T14:16:33.762Z
5.3479,1.0587,EUR,2023-10-23,false,2026-07-31T14:16:33.762Z
5.3364,1.0542,EUR,2023-10-24,false,2026-07-31T14:16:33.762Z
5.3591,1.0587,EUR,2023-10-25,false,2026-07-31T14:16:33.762Z
5.3342,1.0586,EUR,2023-10-26,false,2026-07-31T14:16:33.762Z
5.3084,1.0612,EUR,2023-10-27,false,2026-07-31T14:16:33.762Z
5.3243,1.0575,EUR,2023-10-30,false,2026-07-31T14:16:33.762Z
5.3228,1.058,EUR,2023-10-31,false,2026-07-31T14:16:33.762Z
5.3087,1.0617,EUR,2023-11-01,false,2026-07-31T14:16:33.762Z
5.3041,1.0588,EUR,2023-11-02,false,2026-07-31T14:16:33.762Z
5.3065,1.0611,EUR,2023-11-03,false,2026-07-31T14:16:33.762Z
5.2886,1.0592,EUR,2023-11-06,false,2026-07-31T14:16:33.762Z
5.3183,1.0607,EUR,2023-11-07,false,2026-07-31T14:16:33.762Z
5.3146,1.0609,EUR,2023-11-08,false,2026-07-31T14:16:33.762Z
5.2918,1.0581,EUR,2023-11-09,false,2026-07-31T14:16:33.762Z
5.2821,1.059,EUR,2023-11-10,false,2026-07-31T14:16:33.762Z
5.2659,1.0562,EUR,2023-11-13,false,2026-07-31T14:16:33.762Z
5.2402,1.0575,EUR,2023-11-14,false,2026-07-31T14:16:33.762Z
5.2239,1.0616,EUR,2023-11-15,false,2026-07-31T14:16:33.762Z
5.2455,1.0573,EUR,2023-11-16,false,2026-07-31T14:16:33.762Z
5.2298,1.059,EUR,2023-11-17,false,2026-07-31T14:16:33.762Z
5.2126,1.0553,EUR,2023-11-20,false,2026-07-31T14:16:33.762Z
5.2387,1.056,EUR,2023-11-21,false,2026-07-31T14:16:33.762Z
5.2371,1.0589,EUR,2023-11-22,false,2026-07-31T14:16:33.762Z
5.2556,1.0558,EUR,2023-11-23,false,2026-07-31T14:16:33.762Z
5.2314,1.0551,EUR,2023-11-24,false,2026-07-31T14:16:33.762Z
5.2268,1.0547,EUR,2023-11-27,false,2026-07-31T14:16:33.762Z
5.2405,1.0565,EUR,2023-11-28,false,2026-07-31T14:16:33.762Z
5.2696,1.0525,EUR,2023-11-29,false,2026-07-31T14:16:33.762Z
5.2637,1.0509,EUR,2023-11-30,false,2026-07-31T14:16:33.762Z
5.2854,1.0483,EUR,2023-12-01,false,2026-07-31T14:16:33.762Z
5.2668,1.0478,EUR,2023-12-04,false,2026-07-31T14:16:33.762Z
5.2622,1.0456,EUR,2023-12-05,false,2026-07-31T14:16:33.762Z
5.2472,1.0498,EUR,2023-12-06,false,2026-07-31T14:16:33.762Z
5.2437,1.0535,EUR,2023-12-07,false,2026-07-31T14:16:33.762Z
5.2468,1.049,EUR,2023-12-08,false,2026-07-31T14:16:33.762Z
5.2767,1.0523,EUR,2023-12-11,false,2026-07-31T14:16:33.762Z
5.3049,1.0566,EUR,2023-12-12,false,2026-07-31T14:16:33.762Z
5.3258,1.0533,EUR,2023-12-13,false,2026-07-31T14:16:33.762Z
5.3249,1.0504,EUR,2023-12-14,false,2026-07-31T14:16:33.762Z
5.319,1.046,EUR,2023-12-15,false,2026-07-31T14:16:33.762Z
5.3117,1.0508,EUR,2023-12-18,false,2026-07-31T14:16:33.762Z
5.2976,1.0537,EUR,2023-12-19,false,2026-07-31T14:16:33.762Z
5.2949,1.0529,EUR,2023-12-20,false,2026-07-31T14:16:33.762Z
5.3224,1.0579,EUR,2023-12-21,false,2026-07-31T14:16:33.762Z
5.3257,1.06,EUR,2023-12-22,false,2026-07-31T14:16:33.762Z
5.305,1.058,EUR,2023-12-25,false,2026-07-31T14:16:33.762Z
5.3331,1.0588,EUR,2023-12-26,false,2026-07-31T14:16:33.762Z
5.3357,1.0613,EUR,2023-12-27,false,2026-07-31T14:16:33.762Z
5.3091,1.0621,EUR,2023-12-28,false,2026-07-31T14:16:33.762Z
5.3093,1.0656,EUR,2023-12-29,false,2026-07-31T14:16:33.762Z
5.2887,1.0703,EUR,2024-01-01,false,2026-07-31T14:16:33.762Z
5.2635,1.0671,EUR,2024-01-02,false,2026-07-31T14:16:33.762Z
5.2692,1.0689,EUR,2024-01-03,false,2026-07-31T14:16:33.762Z
5.2533,1.0651,EUR,2024-01-04,false,2026-07-31T14:16:33.762Z
5.2767,1.0625,EUR,2024-01-05,false,2026-07-31T14:16:33.762Z
5.2824,1.0637,EUR,2024-01-08,false,2026-07-31T14:16:33.762Z
5.2776,1.0646,EUR,2024-01-09,false,2026-07-31T14:16:33.762Z
5.2789,1.0689,EUR,2024-01-10,false,2026-07-31T14:16:33.762Z
5.2612,1.0711,EUR,2024-01-11,false,2026-07-31T14:16:33.762Z
5.2455,1.07,EUR,2024-01-12,false,2026-07-31T14:16:33.762Z
5.2558,1.068,EUR,2024-01-15,false,2026-07-31T14:16:33.762Z
5.2448,1.0705,EUR,2024-01-16,false,2026-07-31T14:16:33.762Z
5.2191,1.0701,EUR,2024-01-17,false,2026-07-31T14:16:33.762Z
5.249,1.0751,EUR,2024-01-18,false,2026-07-31T14:16:33.762Z
5.2234,1.0722,EUR,2024-01-19,false,2026-07-31T14:16:33.762Z
5.2093,1.0766,EUR,2024-01-22,false,2026-07-31T14:16:33.762Z
5.2322,1.0803,EUR,2024-01-23,false,2026-07-31T14:16:33.762Z
5.2244,1.0769,EUR,2024-01-24,false,2026-07-31T14:16:33.762Z
5.2444,1.079,EUR,2024-01-25,false,2026-07-31T14:16:33.762Z
5.2511,1.0838,EUR,2024-01-26,false,2026-07-31T14:16:33.762Z
5.2603,1.0789,EUR,2024-01-29,false,2026-07-31T14:16:33.762Z
5.2794,1.0769,EUR,2024-01-30,false,2026-07-31T14:16:33.762Z
5.2892,1.0813,EUR,2024-01-31,false,2026-07-31T14:16:33.762Z
5.2672,1.0774,EUR,2024-02-01,false,2026-07-31T14:16:33.762Z
5.2436,1.078,EUR,2024-02-02,false,2026-07-31T14:16:33.762Z
5.23,1.079,EUR,2024-02-05,false,2026-07-31T14:16:33.762Z
5.243,1.0761,EUR,2024-02-06,false,2026-07-31T14:16:33.762Z
5.2511,1.0737,EUR,2024-02-07,false,2026-07-31T14:16:33.762Z
5.2504,1.0778,EUR,2024-02-08,false,2026-07-31T14:16:33.762Z
5.2712,1.0737,EUR,2024-02-09,false,2026-07-31T14:16:33.762Z
5.2666,1.0714,EUR,2024-02-12,false,2026-07-31T14:16:33.762Z
5.2368,1.0742,EUR,2024-02-13,false,2026-07-31T14:16:33.762Z
5.245,1.0718,EUR,2024-02-14,false,2026-07-31T14:16:33.762Z
5.2595,1.0723,EUR,2024-02-15,false,2026-07-31T14:16:33.762Z
5.2552,1.0674,EUR,2024-02-16,false,2026-07-31T14:16:33.762Z
5.2297,1.0712,EUR,2024-02-19,false,2026-07-31T14:16:33.762Z
5.2539,1.0717,EUR,2024-02-20,false,2026-07-31T14:16:33.762Z
5.274,1.0725,EUR,2024-02-21,false,2026-07-31T14:16:33.762Z
5.2529,1.0688,EUR,2024-02-22,false,2026-07-31T14:16:33.762Z
5.2414,1.0728,EUR,2024-02-23,false,2026-07-31T14:16:33.762Z
5.2591,1.0764,EUR,2024-02-26,false,2026-07-31T14:16:33.762Z
5.2831,1.0735,EUR,2024-02-27,false,2026-07-31T14:16:33.762Z
5.268,1.0695,EUR,2024-02-28,false,2026-07-31T14:16:33.762Z
5.2849,1.0733,EUR,2024-02-29,false,2026-07-31T14:16:33.762Z
5.2792,1.0745,EUR,2024-03-01,false,2026-07-31T14:16:33.762Z
5.2585,1.0788,EUR,2024-03-04,false,2026-07-31T14:16:33.762Z
5.2804,1.0836,EUR,2024-03-05,false,2026-07-31T14:16:33.762Z
5.299,1.0874,EUR,2024-03-06,false,2026-07-31T14:16:33.762Z
5.2705,1.0898,EUR,2024-03-07,false,2026-07-31T14:16:33.762Z
5.2605,1.0941,EUR,2024-03-08,false,2026-07-31T14:16:33.762Z
5.2786,1.0977,EUR,2024-03-11,false,2026-07-31T14:16:33.762Z
5.2972,1.0954,EUR,2024-03-12,false,2026-07-31T14:16:33.762Z
5.3145,1.0915,EUR,2024-03-13,false,2026-07-31T14:16:33.762Z
5.3368,1.0951,EUR,2024-03-14,false,2026-07-31T14:16:33.762Z
5.3201,1.0982,EUR,2024-03-15,false,2026-07-31T14:16:33.762Z
5.3178,1.0963,EUR,2024-03-18,false,2026-07-31T14:16:33.762Z
5.3355,1.0936,EUR,2024-03-19,false,2026-07-31T14:16:33.762Z
5.3069,1.0905,EUR,2024-03-20,false,2026-07-31T14:16:33.762Z
5.2966,1.0941,EUR,2024-03-21,false,2026-07-31T14:16:33.762Z
5.3246,1.0919,EUR,2024-03-22,false,2026-07-31T14:16:33.762Z
5.3331,1.0909,EUR,2024-03-25,false,2026-07-31T14:16:33.762Z
5.362,1.0913,EUR,2024-03-26,false,2026-07-31T14:16:33.762Z
5.3883,1.0874,EUR,2024-03-27,false,2026-07-31T14:16:33.762Z
5.4166,1.0842,EUR,2024-03-28,false,2026-07-31T14:16:33.762Z
5.4443,1.0819,EUR,2024-03-29,false,2026-07-31T14:16:33.762Z
5.4208,1.0812,EUR,2024-04-01,false,2026-07-31T14:16:33.762Z
