touchpoint_id,player_id,campaign_id,channel,event_ts,event_type,_source_file,_ingested_at
T0000755,P00216,C008,sms,2023-12-22T01:00:00Z,sent,file:///home/claude/flutter-martech-case/data/campaign_touchpoints.csv,2026-07-31T13:06:39.513Z
T0000802,P00108,C009,sms,2024-01-31T17:00:00Z,click,file:///home/claude/flutter-martech-case/data/campaign_touchpoints.csv,2026-07-31T13:06:39.513Z
T0000025,P00004,C001,email,2024-01-11T05:00:00Z,sent,file:///home/claude/flutter-martech-case/data/campaign_touchpoints.csv,2026-07-31T13:06:39.513Z
T0000356,P00231,C004,email,2024-02-18T12:00:00Z,sent,file:///home/claude/flutter-martech-case/data/campaign_touchpoints.csv,2026-07-31T13:06:39.513Z
T0000006,P00093,C001,email,2024-01-11T13:00:00Z,sent,file:///home/claude/flutter-martech-case/data/campaign_touchpoints.csv,2026-07-31T13:06:39.513Z
T0000217,P00167,C003,push,2024-02-14T13:00:00Z,open,file:///home/claude/flutter-martech-case/data/campaign_touchpoints.csv,2026-07-31T13:06:39.513Z
T0000843,P00218,C009,sms,2024-01-17T20:00:00Z,sent,file:///home/claude/flutter-martech-case/data/campaign_touchpoints.csv,2026-07-31T13:06:39.513Z
T0000767,P00153,C008,sms,2024-01-07T13:00:00Z,sent,file:///home/claude/flutter-martech-case/data/campaign_touchpoints.csv,2026-07-31T13:06:39.513Z
T0000809,P00214,C009,sms,2024-01-27T23:00:00Z,sent,file:///home/claude/flutter-martech-case/data/campaign_touchpoints.csv,2026-07-31T13:06:39.513Z
T0001199,P00176,C012,email,2024-03-11T09:00:00Z,sent,file:///home/claude/flutter-martech-case/data/campaign_touchpoints.csv,2026-07-31T13:06:39.513Z
T0000792,P00207,C008,sms,2024-01-04T03:00:00Z,open,file:///home/claude/flutter-martech-case/data/campaign_touchpoints.csv,2026-07-31T13:06:39.513Z
T0000043,P00102,C001,email,2024-01-26T11:00:00Z,open,file:///home/claude/flutter-martech-case/data/campaign_touchpoints.csv,2026-07-31T13:06:39.513Z
T0000057,P00127,C001,email,2024-01-07T19:00:00Z,sent,file:///home/claude/flutter-martech-case/data/campaign_touchpoints.csv,2026-07-31T13:06:39.513Z
T0000762,P00100,C008,sms,2024-01-04T07:00:00Z,sent,file:///home/claude/flutter-martech-case/data/campaign_touchpoints.csv,2026-07-31T13:06:39.513Z
T0000881,P00186,C009,sms,2024-01-26T04:00:00Z,open,file:///home/claude/flutter-martech-case/data/campaign_touchpoints.csv,2026-07-31T13:06:39.513Z
T0000165,P00116,C002,push,2024-01-12T23:00:00Z,sent,file:///home/claude/flutter-martech-case/data/campaign_touchpoints.csv,2026-07-31T13:06:39.513Z
T0000528,P00199,C006,email,2024-03-09T19:00:00Z,sent,file:///home/claude/flutter-martech-case/data/campaign_touchpoints.csv,2026-07-31T13:06:39.513Z
T0000630,P00047,C007,email,2023-08-27T17:00:00Z,sent,file:///home/claude/flutter-martech-case/data/campaign_touchpoints.csv,2026-07-31T13:06:39.513Z
T0000898,P00006,C010,email,2024-01-30T21:00:00Z,sent,file:///home/claude/flutter-martech-case/data/campaign_touchpoints.csv,2026-07-31T13:06:39.513Z
T0001166,P00029,C012,email,2024-03-04T17:00:00Z,open,file:///home/claude/flutter-martech-case/data/campaign_touchpoints.csv,2026-07-31T13:06:39.513Z
T0000265,P00156,C003,push,2024-02-14T21:00:00Z,sent,file:///home/claude/flutter-martech-case/data/campaign_touchpoints.csv,2026-07-31T13:06:39.513Z
T0000118,P00242,C002,push,2024-01-15T09:00:00Z,sent,file:///home/claude/flutter-martech-case/data/campaign_touchpoints.csv,2026-07-31T13:06:39.513Z
T0000113,P00083,C002,push,2024-01-11T22:00:00Z,sent,file:///home/claude/flutter-martech-case/data/campaign_touchpoints.csv,2026-07-31T13:06:39.513Z
T0001134,P00130,C012,email,2024-03-08T20:00:00Z,sent,file:///home/claude/flutter-martech-case/data/campaign_touchpoints.csv,2026-07-31T13:06:39.513Z
T0000188,P00151,C002,push,2024-01-26T06:00:00Z,open,file:///home/claude/flutter-martech-case/data/campaign_touchpoints.csv,2026-07-31T13:06:39.513Z
T0000585,P00024,C006,email,2024-03-12T17:00:00Z,sent,file:///home/claude/flutter-martech-case/data/campaign_touchpoints.csv,2026-07-31T13:06:39.513Z
T0000192,P00109,C002,push,2024-01-25T04:00:00Z,sent,file:///home/claude/flutter-martech-case/data/campaign_touchpoints.csv,2026-07-31T13:06:39.513Z
T0001254,P00024,C012,email,2024-03-02T13:00:00Z,sent,file:///home/claude/flutter-martech-case/data/campaign_touchpoints.csv,2026-07-31T13:06:39.513Z
T0000540,P00202,C006,email,2024-03-04T21:00:00Z,sent,file:///home/claude/flutter-martech-case/data/campaign_touchpoints.csv,2026-07-31T13:06:39.513Z
T0000798,P00038,C009,sms,2024-01-24T15:00:00Z,open,file:///home/claude/flutter-martech-case/data/campaign_touchpoints.csv,2026-07-31T13:06:39.513Z
T0000685,P00239,C007,email,2023-09-02T16:00:00Z,sent,file:///home/claude/flutter-martech-case/data/campaign_touchpoints.csv,2026-07-31T13:06:39.513Z
T0000727,P00202,C008,sms,2024-01-04T13:00:00Z,sent,file:///home/claude/flutter-martech-case/data/campaign_touchpoints.csv,2026-07-31T13:06:39.513Z
T0000175,P00162,C002,push,2024-01-29T19:00:00Z,sent,file:///home/claude/flutter-martech-case/data/campaign_touchpoints.csv,2026-07-31T13:06:39.513Z
T0000149,P00119,C002,push,2024-01-26T07:00:00Z,sent,file:///home/claude/flutter-martech-case/data/campaign_touchpoints.csv,2026-07-31T13:06:39.513Z
T0001248,P00119,C012,email,2024-03-10T06:00:00Z,sent,file:///home/claude/flutter-martech-case/data/campaign_touchpoints.csv,2026-07-31T13:06:39.513Z
T0000687,P00173,C007,email,2023-08-27T14:00:00Z,sent,file:///home/claude/flutter-martech-case/data/campaign_touchpoints.csv,2026-07-31T13:06:39.513Z
T0000655,P00178,C007,email,2023-08-28T07:00:00Z,sent,file:///home/claude/flutter-martech-case/data/campaign_touchpoints.csv,2026-07-31T13:06:39.513Z
T0000127,P00122,C002,push,2024-01-18T12:00:00Z,sent,file:///home/claude/flutter-martech-case/data/campaign_touchpoints.csv,2026-07-31T13:06:39.513Z
T0000439,P00184,C005,push,2024-02-20T21:00:00Z,click,file:///home/claude/flutter-martech-case/data/campaign_touchpoints.csv,2026-07-31T13:06:39.513Z
T0000906,P00128,C010,email,2024-02-06T07:00:00Z,open,file:///home/claude/flutter-martech-case/data/campaign_touchpoints.csv,2026-07-31T13:06:39.513Z
T0000615,P00231,C006,email,2024-03-28T11:00:00Z,open,file:///home/claude/flutter-martech-case/data/campaign_touchpoints.csv,2026-07-31T13:06:39.513Z
T0001226,P00196,C012,email,2024-02-20T18:00:00Z,sent,file:///home/claude/flutter-martech-case/data/campaign_touchpoints.csv,2026-07-31T13:06:39.513Z
T0000307,P00031,C004,email,2024-02-11T19:00:00Z,sent,file:///home/claude/flutter-martech-case/data/campaign_touchpoints.csv,2026-07-31T13:06:39.513Z
T0000531,P00028,C006,email,2024-03-17T03:00:00Z,sent,file:///home/claude/flutter-martech-case/data/campaign_touchpoints.csv,2026-07-31T13:06:39.513Z
T0001243,P00017,C012,email,2024-03-24T17:00:00Z,open,file:///home/claude/flutter-martech-case/data/campaign_touchpoints.csv,2026-07-31T13:06:39.513Z
T0000090,P00033,C001,email,2024-01-21T04:00:00Z,open,file:///home/claude/flutter-martech-case/data/campaign_touchpoints.csv,2026-07-31T13:06:39.513Z
T0000228,P00074,C003,push,2024-02-15T16:00:00Z,sent,file:///home/claude/flutter-martech-case/data/campaign_touchpoints.csv,2026-07-31T13:06:39.513Z
T0001033,P00105,C011,push,2024-02-11T08:00:00Z,click,file:///home/claude/flutter-martech-case/data/campaign_touchpoints.csv,2026-07-31T13:06:39.513Z
T0000886,P00083,C009,sms,2024-02-03T13:00:00Z,sent,file:///home/claude/flutter-martech-case/data/campaign_touchpoints.csv,2026-07-31T13:06:39.513Z
T0000718,P00027,C007,email,2023-08-22T20:00:00Z,sent,file:///home/claude/flutter-martech-case/data/campaign_touchpoints.csv,2026-07-31T13:06:39.513Z
T0000574,P00084,C006,email,2024-03-20T12:00:00Z,open,file:///home/claude/flutter-martech-case/data/campaign_touchpoints.csv,2026-07-31T13:06:39.513Z
T0000122,P00168,C002,push,2024-01-23T23:00:00Z,open,file:///home/claude/flutter-martech-case/data/campaign_touchpoints.csv,2026-07-31T13:06:39.513Z
T0001098,P00127,C011,push,2024-02-08T01:00:00Z,sent,file:///home/claude/flutter-martech-case/data/campaign_touchpoints.csv,2026-07-31T13:06:39.513Z
T0000543,P00025,C006,email,2024-03-11T02:00:00Z,open,file:///home/claude/flutter-martech-case/data/campaign_touchpoints.csv,2026-07-31T13:06:39.513Z
T0000937,P00167,C010,email,2024-01-20T10:00:00Z,sent,file:///home/claude/flutter-martech-case/data/campaign_touchpoints.csv,2026-07-31T13:06:39.513Z
T0000579,P00068,C006,email,2024-03-15T01:00:00Z,sent,file:///home/claude/flutter-martech-case/data/campaign_touchpoints.csv,2026-07-31T13:06:39.513Z
T0000285,P00118,C003,push,2024-02-10T04:00:00Z,sent,file:///home/claude/flutter-martech-case/data/campaign_touchpoints.csv,2026-07-31T13:06:39.513Z
T0000678,P00024,C007,email,2023-08-20T19:00:00Z,open,file:///home/claude/flutter-martech-case/data/campaign_touchpoints.csv,2026-07-31T13:06:39.513Z
T0000772,P00071,C008,sms,2024-01-07T10:00:00Z,sent,file:///home/claude/flutter-martech-case/data/campaign_touchpoints.csv,2026-07-31T13:06:39.513Z
T0000345,P00026,C004,email,2024-02-24T22:00:00Z,open,file:///home/claude/flutter-martech-case/data/campaign_touchpoints.csv,2026-07-31T13:06:39.513Z
T0000719,P00027,C007,email,2023-08-24T08:00:00Z,open,file:///home/claude/flutter-martech-case/data/campaign_touchpoints.csv,2026-07-31T13:06:39.513Z
T0000568,P00189,C006,email,2024-03-18T17:00:00Z,sent,file:///home/claude/flutter-martech-case/data/campaign_touchpoints.csv,2026-07-31T13:06:39.513Z
T0000565,P00044,C006,email,2024-03-02T11:00:00Z,sent,file:///home/claude/flutter-martech-case/data/campaign_touchpoints.csv,2026-07-31T13:06:39.513Z
T0000680,P00113,C007,email,2023-09-02T17:00:00Z,sent,file:///home/claude/flutter-martech-case/data/campaign_touchpoints.csv,2026-07-31T13:06:39.513Z
T0000409,P00188,C005,push,2024-02-26T17:00:00Z,click,file:///home/claude/flutter-martech-case/data/campaign_touchpoints.csv,2026-07-31T13:06:39.513Z
T0000519,P00126,C005,push,2024-02-18T16:00:00Z,sent,file:///home/claude/flutter-martech-case/data/campaign_touchpoints.csv,2026-07-31T13:06:39.513Z
T0000365,P00181,C004,email,2024-02-22T20:00:00Z,open,file:///home/claude/flutter-martech-case/data/campaign_touchpoints.csv,2026-07-31T13:06:39.513Z
T0000002,P00124,C001,email,2024-01-26T08:00:00Z,open,file:///home/claude/flutter-martech-case/data/campaign_touchpoints.csv,2026-07-31T13:06:39.513Z
T0000238,P00035,C003,push,2024-02-18T17:00:00Z,sent,file:///home/claude/flutter-martech-case/data/campaign_touchpoints.csv,2026-07-31T13:06:39.513Z
T0000623,P00131,C006,email,2024-03-11T09:00:00Z,sent,file:///home/claude/flutter-martech-case/data/campaign_touchpoints.csv,2026-07-31T13:06:39.513Z
T0000752,P00210,C008,sms,2024-01-06T05:00:00Z,open,file:///home/claude/flutter-martech-case/data/campaign_touchpoints.csv,2026-07-31T13:06:39.513Z
T0000222,P00017,C003,push,2024-02-08T16:00:00Z,sent,file:///home/claude/flutter-martech-case/data/campaign_touchpoints.csv,2026-07-31T13:06:39.513Z
T0001195,P00184,C012,email,2024-03-05T15:00:00Z,sent,file:///home/claude/flutter-martech-case/data/campaign_touchpoints.csv,2026-07-31T13:06:39.513Z
T0000304,P00160,C004,email,2024-02-03T04:00:00Z,open,file:///home/claude/flutter-martech-case/data/campaign_touchpoints.csv,2026-07-31T13:06:39.513Z
T0001184,P00107,C012,email,2024-03-13T02:00:00Z,open,file:///home/claude/flutter-martech-case/data/campaign_touchpoints.csv,2026-07-31T13:06:39.513Z
T0000181,P00117,C002,push,2024-02-01T06:00:00Z,open,file:///home/claude/flutter-martech-case/data/campaign_touchpoints.csv,2026-07-31T13:06:39.513Z
T0000806,P00063,C009,sms,2024-01-24T22:00:00Z,sent,file:///home/claude/flutter-martech-case/data/campaign_touchpoints.csv,2026-07-31T13:06:39.513Z
T0000367,P00191,C004,email,2024-02-05T18:00:00Z,sent,file:///home/claude/flutter-martech-case/data/campaign_touchpoints.csv,2026-07-31T13:06:39.513Z
T0000086,P00107,C001,email,2024-01-18T00:00:00Z,sent,file:///home/claude/flutter-martech-case/data/campaign_touchpoints.csv,2026-07-31T13:06:39.513Z
T0000092,P00017,C001,email,2024-01-07T15:00:00Z,sent,file:///home/claude/flutter-martech-case/data/campaign_touchpoints.csv,2026-07-31T13:06:39.513Z
T0000934,P00084,C010,email,2024-02-02T03:00:00Z,sent,file:///home/claude/flutter-martech-case/data/campaign_touchpoints.csv,2026-07-31T13:06:39.513Z
T0000264,P00127,C003,push,2024-02-15T00:00:00Z,sent,file:///home/claude/flutter-martech-case/data/campaign_touchpoints.csv,2026-07-31T13:06:39.513Z
T0000672,P00240,C007,email,2023-08-31T19:00:00Z,sent,file:///home/claude/flutter-martech-case/data/campaign_touchpoints.csv,2026-07-31T13:06:39.513Z
T0000729,P00245,C008,sms,2024-01-20T02:00:00Z,open,file:///home/claude/flutter-martech-case/data/campaign_touchpoints.csv,2026-07-31T13:06:39.513Z
T0000331,P00243,C004,email,2024-02-10T00:00:00Z,open,file:///home/claude/flutter-martech-case/data/campaign_touchpoints.csv,2026-07-31T13:06:39.513Z
T0000183,P00224,C002,push,2024-01-27T23:00:00Z,sent,file:///home/claude/flutter-martech-case/data/campaign_touchpoints.csv,2026-07-31T13:06:39.513Z
T0000233,P00013,C003,push,2024-02-17T00:00:00Z,sent,file:///home/claude/flutter-martech-case/data/campaign_touchpoints.csv,2026-07-31T13:06:39.513Z
T0001010,P00203,C011,push,2024-02-08T02:00:00Z,open,file:///home/claude/flutter-martech-case/data/campaign_touchpoints.csv,2026-07-31T13:06:39.513Z
T0000317,P00230,C004,email,2024-03-10T14:00:00Z,open,file:///home/claude/flutter-martech-case/data/campaign_touchpoints.csv,2026-07-31T13:06:39.513Z
T0000177,P00220,C002,push,2024-01-15T16:00:00Z,open,file:///home/claude/flutter-martech-case/data/campaign_touchpoints.csv,2026-07-31T13:06:39.513Z
T0000677,P00024,C007,email,2023-08-19T06:00:00Z,sent,file:///home/claude/flutter-martech-case/data/campaign_touchpoints.csv,2026-07-31T13:06:39.513Z
T0000958,P00154,C010,email,2024-02-08T13:00:00Z,sent,file:///home/claude/flutter-martech-case/data/campaign_touchpoints.csv,2026-07-31T13:06:39.513Z
T0000849,P00226,C009,sms,2024-01-21T14:00:00Z,sent,file:///home/claude/flutter-martech-case/data/campaign_touchpoints.csv,2026-07-31T13:06:39.513Z
T0000435,P00128,C005,push,2024-02-29T17:00:00Z,open,file:///home/claude/flutter-martech-case/data/campaign_touchpoints.csv,2026-07-31T13:06:39.513Z
T0000402,P00042,C005,push,2024-02-23T18:00:00Z,sent,file:///home/claude/flutter-martech-case/data/campaign_touchpoints.csv,2026-07-31T13:06:39.513Z
T0000040,P00016,C001,email,2024-01-12T15:00:00Z,sent,file:///home/claude/flutter-martech-case/data/campaign_touchpoints.csv,2026-07-31T13:06:39.513Z
T0000079,P00026,C001,email,2024-01-20T13:00:00Z,sent,file:///home/claude/flutter-martech-case/data/campaign_touchpoints.csv,2026-07-31T13:06:39.513Z
T0001071,P00078,C011,push,2024-02-22T18:00:00Z,sent,file:///home/claude/flutter-martech-case/data/campaign_touchpoints.csv,2026-07-31T13:06:39.513Z
T0000609,P00228,C006,email,2024-03-13T08:00:00Z,sent,file:///home/claude/flutter-martech-case/data/campaign_touchpoints.csv,2026-07-31T13:06:39.513Z
T0000791,P00207,C008,sms,2024-01-04T02:00:00Z,sent,file:///home/claude/flutter-martech-case/data/campaign_touchpoints.csv,2026-07-31T13:06:39.513Z
T0000497,P00178,C005,push,2024-03-02T07:00:00Z,click,file:///home/claude/flutter-martech-case/data/campaign_touchpoints.csv,2026-07-31T13:06:39.513Z
T0000618,P00132,C006,email,2024-03-19T23:00:00Z,click,file:///home/claude/flutter-martech-case/data/campaign_touchpoints.csv,2026-07-31T13:06:39.513Z
T0000646,P00042,C007,email,2023-08-21T02:00:00Z,sent,file:///home/claude/flutter-martech-case/data/campaign_touchpoints.csv,2026-07-31T13:06:39.513Z
T0000243,P00204,C003,push,2024-02-19T08:00:00Z,open,file:///home/claude/flutter-martech-case/data/campaign_touchpoints.csv,2026-07-31T13:06:39.513Z
T0000405,P00238,C005,push,2024-02-21T01:00:00Z,sent,file:///home/claude/flutter-martech-case/data/campaign_touchpoints.csv,2026-07-31T13:06:39.513Z
T0000969,P00176,C010,email,2024-01-28T17:00:00Z,open,file:///home/claude/flutter-martech-case/data/campaign_touchpoints.csv,2026-07-31T13:06:39.513Z
T0001042,P00138,C011,push,2024-02-18T07:00:00Z,click,file:///home/claude/flutter-martech-case/data/campaign_touchpoints.csv,2026-07-31T13:06:39.513Z
T0000045,P00010,C001,email,2024-01-16T01:00:00Z,sent,file:///home/claude/flutter-martech-case/data/campaign_touchpoints.csv,2026-07-31T13:06:39.513Z
T0000024,P00110,C001,email,2024-01-10T04:00:00Z,sent,file:///home/claude/flutter-martech-case/data/campaign_touchpoints.csv,2026-07-31T13:06:39.513Z
T0000584,P00075,C006,email,2024-03-19T12:00:00Z,sent,file:///home/claude/flutter-martech-case/data/campaign_touchpoints.csv,2026-07-31T13:06:39.513Z
T0000419,P00037,C005,push,2024-02-21T19:00:00Z,sent,file:///home/claude/flutter-martech-case/data/campaign_touchpoints.csv,2026-07-31T13:06:39.513Z
T0001203,P00060,C012,email,2024-03-11T15:00:00Z,sent,file:///home/claude/flutter-martech-case/data/campaign_touchpoints.csv,2026-07-31T13:06:39.513Z
T0000639,P00129,C007,email,2023-08-18T06:00:00Z,sent,file:///home/claude/flutter-martech-case/data/campaign_touchpoints.csv,2026-07-31T13:06:39.513Z
T0000438,P00184,C005,push,2024-02-20T04:00:00Z,open,file:///home/claude/flutter-martech-case/data/campaign_touchpoints.csv,2026-07-31T13:06:39.513Z
T0000259,P00177,C003,push,2024-02-11T16:00:00Z,sent,file:///home/claude/flutter-martech-case/data/campaign_touchpoints.csv,2026-07-31T13:06:39.513Z
T0000902,P00202,C010,email,2024-01-24T15:00:00Z,sent,file:///home/claude/flutter-martech-case/data/campaign_touchpoints.csv,2026-07-31T13:06:39.513Z
T0000422,P00147,C005,push,2024-02-18T01:00:00Z,sent,file:///home/claude/flutter-martech-case/data/campaign_touchpoints.csv,2026-07-31T13:06:39.513Z
T0000777,P00065,C008,sms,2023-12-29T20:00:00Z,open,file:///home/claude/flutter-martech-case/data/campaign_touchpoints.csv,2026-07-31T13:06:39.513Z
T0000152,P00027,C002,push,2024-01-18T20:00:00Z,sent,file:///home/claude/flutter-martech-case/data/campaign_touchpoints.csv,2026-07-31T13:06:39.513Z
T0000316,P00230,C004,email,2024-02-18T19:00:00Z,sent,file:///home/claude/flutter-martech-case/data/campaign_touchpoints.csv,2026-07-31T13:06:39.513Z
T0000070,P00213,C001,email,2024-01-14T10:00:00Z,sent,file:///home/claude/flutter-martech-case/data/campaign_touchpoints.csv,2026-07-31T13:06:39.513Z
T0000840,P00128,C009,sms,2024-01-23T10:00:00Z,sent,file:///home/claude/flutter-martech-case/data/campaign_touchpoints.csv,2026-07-31T13:06:39.513Z
T0000377,P00232,C004,email,2024-02-16T23:00:00Z,sent,file:///home/claude/flutter-martech-case/data/campaign_touchpoints.csv,2026-07-31T13:06:39.513Z
T0000263,P00126,C003,push,2024-02-08T06:00:00Z,sent,file:///home/claude/flutter-martech-case/data/campaign_touchpoints.csv,2026-07-31T13:06:39.513Z
T0000928,P00031,C010,email,2024-01-30T19:00:00Z,sent,file:///home/claude/flutter-martech-case/data/campaign_touchpoints.csv,2026-07-31T13:06:39.513Z
T0001230,P00231,C012,email,2024-02-29T14:00:00Z,sent,file:///home/claude/flutter-martech-case/data/campaign_touchpoints.csv,2026-07-31T13:06:39.513Z
T0000049,P00168,C001,email,2024-01-09T03:00:00Z,sent,file:///home/claude/flutter-martech-case/data/campaign_touchpoints.csv,2026-07-31T13:06:39.513Z
T0000434,P00128,C005,push,2024-02-27T21:00:00Z,sent,file:///home/claude/flutter-martech-case/data/campaign_touchpoints.csv,2026-07-31T13:06:39.513Z
T0000629,P00073,C007,email,2023-09-03T04:00:00Z,sent,file:///home/claude/flutter-martech-case/data/campaign_touchpoints.csv,2026-07-31T13:06:39.513Z
T0000857,P00091,C009,sms,2024-01-21T04:00:00Z,sent,file:///home/claude/flutter-martech-case/data/campaign_touchpoints.csv,2026-07-31T13:06:39.513Z
T0000711,P00132,C007,email,2023-08-29T23:00:00Z,sent,file:///home/claude/flutter-martech-case/data/campaign_touchpoints.csv,2026-07-31T13:06:39.513Z
T0001113,P00112,C011,push,2024-02-23T03:00:00Z,click,file:///home/claude/flutter-martech-case/data/campaign_touchpoints.csv,2026-07-31T13:06:39.513Z
T0000011,P00208,C001,email,2024-01-19T02:00:00Z,sent,file:///home/claude/flutter-martech-case/data/campaign_touchpoints.csv,2026-07-31T13:06:39.513Z
T0000324,P00089,C004,email,2024-02-05T15:00:00Z,sent,file:///home/claude/flutter-martech-case/data/campaign_touchpoints.csv,2026-07-31T13:06:39.513Z
T0000931,P00163,C010,email,2024-01-21T19:00:00Z,sent,file:///home/claude/flutter-martech-case/data/campaign_touchpoints.csv,2026-07-31T13:06:39.513Z
T0000851,P00004,C009,sms,2024-01-26T00:00:00Z,sent,file:///home/claude/flutter-martech-case/data/campaign_touchpoints.csv,2026-07-31T13:06:39.513Z
T0000110,P00035,C001,email,2024-01-20T22:00:00Z,sent,file:///home/claude/flutter-martech-case/data/campaign_touchpoints.csv,2026-07-31T13:06:39.513Z
T0000944,P00050,C010,email,2024-02-01T03:00:00Z,sent,file:///home/claude/flutter-martech-case/data/campaign_touchpoints.csv,2026-07-31T13:06:39.513Z
T0000103,P00238,C001,email,2024-01-08T02:00:00Z,sent,file:///home/claude/flutter-martech-case/data/campaign_touchpoints.csv,2026-07-31T13:06:39.513Z
T0000174,P00134,C002,push,2024-01-11T12:00:00Z,sent,file:///home/claude/flutter-martech-case/data/campaign_touchpoints.csv,2026-07-31T13:06:39.513Z
T0000305,P00160,C004,email,2024-02-04T02:00:00Z,click,file:///home/claude/flutter-martech-case/data/campaign_touchpoints.csv,2026-07-31T13:06:39.513Z
T0000895,P00037,C010,email,2024-01-29T08:00:00Z,sent,file:///home/claude/flutter-martech-case/data/campaign_touchpoints.csv,2026-07-31T13:06:39.513Z
T0001007,P00108,C011,push,2024-02-21T06:00:00Z,sent,file:///home/claude/flutter-martech-case/data/campaign_touchpoints.csv,2026-07-31T13:06:39.513Z
T0000967,P00148,C010,email,2024-02-02T05:00:00Z,sent,file:///home/claude/flutter-martech-case/data/campaign_touchpoints.csv,2026-07-31T13:06:39.513Z
T0000844,P00218,C009,sms,2024-02-05T05:00:00Z,open,file:///home/claude/flutter-martech-case/data/campaign_touchpoints.csv,2026-07-31T13:06:39.513Z
