player_id,signup_date,acquisition_channel,country,preferred_currency,kyc_status,self_excluded,is_eligible_for_targeting,_ingested_at,turnover_brl,ggr_brl,last_bet_ts,n_bets,net_deposits_confirmed_brl,deposits_pending_brl,deposits_failed_brl,last_confirmed_deposit_ts,n_confirmed_deposits,personal_cadence_days,last_activity_ts,is_never_converted,days_since_last_activity,has_reliable_personal_cadence,dormancy_threshold_days,player_lifecycle_status,hold_rate,wallet_burn_rate,theoretical_balance_brl
P00020,2024-01-19,influencer,BR,BRL,verified,true,false,2026-07-31T12:25:18.361Z,0.0,0.0,,0,1448.9199999999998,0.0,0.0,2024-03-12T09:34:00.000Z,2,38,2024-03-12T09:34:00.000Z,false,20,false,60.0,active,,0.0,1448.92
P00021,2023-09-28,paid_social,BR,EUR,pending,false,true,2026-07-31T12:25:18.361Z,7239.35,248.64999999999986,2023-11-20T09:25:00.000Z,18,4844.0599999999995,0.0,0.0,2023-11-02T19:39:00.000Z,5,1,2023-11-20T09:25:00.000Z,false,133,true,30.0,dormant,0.0343,0.0513,4595.41
P00022,2023-10-11,affiliate,BR,BRL,pending,false,true,2026-07-31T12:25:18.361Z,3537.92,-33.76000000000005,2024-02-04T03:58:00.000Z,6,2622.59,0.0,0.0,2023-12-20T11:23:00.000Z,3,1,2024-02-04T03:58:00.000Z,false,57,false,60.0,active,-0.0095,-0.0129,2656.35
P00023,2024-02-23,seo,BR,EUR,verified,false,true,2026-07-31T12:25:18.361Z,13023.43,-4170.2699999999995,2024-02-29T06:50:00.000Z,27,8135.729999999999,1813.6,1856.8899999999999,2024-02-29T06:45:00.000Z,7,0,2024-02-29T06:50:00.000Z,false,32,true,30.0,dormant,-0.3202,-0.5126,12306.0
P00024,2023-08-16,paid_social,BR,BRL,verified,false,true,2026-07-31T12:25:18.361Z,2830.75,-2263.83,2023-10-25T05:23:00.000Z,9,0.0,0.0,0.0,,0,,2023-10-25T05:23:00.000Z,false,159,false,60.0,dormant,-0.7997,,2263.83
P00025,2023-11-27,seo,BR,BRL,pending,false,true,2026-07-31T12:25:18.361Z,0.0,0.0,,0,0.0,0.0,0.0,,0,,,true,,false,60.0,never_converted,,,0.0
P00026,2024-03-02,affiliate,BR,BRL,verified,false,true,2026-07-31T12:25:18.361Z,14792.300000000001,-4211.629999999999,2024-03-07T18:24:00.000Z,27,8754.7,0.0,2185.55,2024-03-07T14:03:00.000Z,8,0,2024-03-07T18:24:00.000Z,false,25,true,30.0,active,-0.2847,-0.4811,12966.33
P00027,2023-11-06,seo,BR,BRL,verified,false,true,2026-07-31T12:25:18.361Z,8897.310000000001,2906.85,2024-03-09T02:42:00.000Z,18,2864.24,0.0,2528.12,2024-02-24T01:46:00.000Z,2,24,2024-03-09T02:42:00.000Z,false,23,false,60.0,active,0.3267,1.0149,-42.61
P00028,2023-09-09,paid_social,BR,BRL,verified,false,true,2026-07-31T12:25:18.361Z,13607.57,-1244.530000000001,2024-02-03T12:12:00.000Z,24,10439.349999999999,0.0,0.0,2024-01-13T00:56:00.000Z,10,12,2024-02-03T12:12:00.000Z,false,58,true,30.0,dormant,-0.0915,-0.1192,11683.88
P00029,2023-12-01,unknown,BR,BRL,verified,false,true,2026-07-31T12:25:18.361Z,15078.74,-563.5299999999994,2023-12-09T11:23:00.000Z,30,5277.820000000001,1465.85,438.32,2023-12-09T06:47:00.000Z,5,0,2023-12-09T11:23:00.000Z,false,114,true,30.0,dormant,-0.0374,-0.1068,5841.35
P00030,2024-01-20,influencer,PT,EUR,verified,false,true,2026-07-31T12:25:18.361Z,6291.78,2857.05,2024-03-26T19:41:00.000Z,15,6198.0,0.0,501.74,2024-03-26T09:18:00.000Z,6,6,2024-03-26T19:41:00.000Z,false,6,true,30.0,active,0.4541,0.461,3340.95
P00031,2023-10-20,organic,AO,USD,verified,false,true,2026-07-31T12:25:18.361Z,8916.800000000001,-4633.05,2024-01-08T18:23:00.000Z,15,3915.7299999999996,1638.04,674.26,2023-12-17T01:52:00.000Z,4,23,2024-01-08T18:23:00.000Z,false,84,false,60.0,dormant,-0.5196,-1.1832,8548.78
P00032,2024-02-09,influencer,AO,EUR,verified,false,true,2026-07-31T12:25:18.361Z,2571.09,223.13999999999987,2024-02-26T16:45:00.000Z,3,1995.6999999999998,493.63,0.0,2024-02-17T19:20:00.000Z,2,6,2024-02-26T16:45:00.000Z,false,35,false,60.0,active,0.0868,0.1118,1772.56
P00033,2024-03-13,organic,BR,BRL,pending,false,true,2026-07-31T12:25:18.361Z,6197.52,1699.4900000000002,2024-03-26T02:28:00.000Z,12,4276.25,0.0,953.53,2024-03-22T19:20:00.000Z,3,0,2024-03-26T02:28:00.000Z,false,6,false,60.0,active,0.2742,0.3974,2576.76
P00034,2023-08-03,paid_social,BR,BRL,verified,false,true,2026-07-31T12:25:18.361Z,2328.31,2328.31,2023-11-24T18:07:00.000Z,3,2030.1399999999999,0.0,0.0,2023-11-29T18:14:00.000Z,2,74,2023-11-29T18:14:00.000Z,false,124,false,60.0,dormant,1.0,1.1469,-298.17
P00035,2023-09-09,organic,BR,BRL,verified,false,true,2026-07-31T12:25:18.361Z,2987.42,1606.0,2023-09-21T12:54:00.000Z,6,775.87,0.0,0.0,2023-09-12T14:37:00.000Z,1,,2023-09-21T12:54:00.000Z,false,193,false,60.0,dormant,0.5376,2.0699,-830.13
P00036,2023-08-24,unknown,BR,BRL,verified,false,true,2026-07-31T12:25:18.361Z,9700.070000000002,-6488.370000000001,2024-02-15T05:37:00.000Z,18,4129.29,147.6,1022.84,2024-02-01T07:45:00.000Z,5,28,2024-02-15T05:37:00.000Z,false,46,true,70.0,active,-0.6689,-1.5713,10617.66
P00037,2023-11-22,paid_social,BR,BRL,pending,false,true,2026-07-31T12:25:18.361Z,8287.91,-2542.009999999999,2023-12-01T21:43:00.000Z,18,6252.13,417.06,995.12,2023-11-27T22:36:00.000Z,6,1,2023-12-01T21:43:00.000Z,false,122,true,30.0,dormant,-0.3067,-0.4066,8794.14
P00038,2024-03-01,seo,BR,BRL,verified,false,true,2026-07-31T12:25:18.361Z,12923.690000000002,-2149.0699999999997,2024-03-28T21:01:00.000Z,27,3047.93,0.0,2846.5,2024-03-26T12:58:00.000Z,5,3,2024-03-28T21:01:00.000Z,false,4,true,30.0,active,-0.1663,-0.7051,5197.0
P00039,2023-08-11,affiliate,PT,EUR,verified,false,true,2026-07-31T12:25:18.361Z,0.0,0.0,,0,732.4,0.0,0.0,2024-01-08T04:11:00.000Z,1,,2024-01-08T04:11:00.000Z,false,84,false,60.0,dormant,,0.0,732.4
P00040,2024-02-08,affiliate,BR,BRL,pending,true,false,2026-07-31T12:25:18.361Z,7475.349999999999,-4613.840000000001,2024-03-25T16:00:00.000Z,15,324.25,2659.64,0.0,2024-02-14T03:20:00.000Z,1,,2024-03-25T16:00:00.000Z,false,7,false,60.0,active,-0.6172,-14.2293,4938.09
P00041,2023-10-25,affiliate,PT,EUR,verified,false,true,2026-07-31T12:25:18.361Z,1486.08,254.34999999999997,2024-01-11T15:08:00.000Z,3,210.71,0.0,0.0,2024-01-14T14:56:00.000Z,1,,2024-01-14T14:56:00.000Z,false,78,false,60.0,dormant,0.1712,1.2071,-43.64
P00042,2023-09-26,organic,BR,BRL,verified,true,false,2026-07-31T12:25:18.361Z,3113.93,1183.93,2023-11-14T13:35:00.000Z,6,1438.95,0.0,0.0,2023-11-11T02:26:00.000Z,2,18,2023-11-14T13:35:00.000Z,false,139,false,60.0,dormant,0.3802,0.8228,255.02
P00043,2023-11-11,organic,BR,BRL,verified,false,true,2026-07-31T12:25:18.361Z,8235.05,2609.6399999999994,2024-01-30T17:41:00.000Z,21,9720.310000000001,0.0,1898.67,2024-02-02T18:02:00.000Z,8,9,2024-02-02T18:02:00.000Z,false,59,true,30.0,dormant,0.3169,0.2685,7110.67
P00044,2023-08-08,affiliate,BR,BRL,rejected,false,false,2026-07-31T12:25:18.361Z,1812.77,-3205.1000000000004,2023-10-19T02:37:00.000Z,3,2683.06,0.0,0.0,2023-10-07T11:11:00.000Z,3,13,2023-10-19T02:37:00.000Z,false,165,false,60.0,dormant,-1.7681,-1.1946,5888.16
P00045,2024-02-03,influencer,PT,EUR,pending,true,false,2026-07-31T12:25:18.361Z,5630.15,3208.24,2024-02-24T02:00:00.000Z,9,0.0,0.0,0.0,,0,,2024-02-24T02:00:00.000Z,false,37,false,60.0,active,0.5698,,-3208.24
P00046,2023-08-01,affiliate,BR,BRL,verified,false,true,2026-07-31T12:25:18.361Z,6093.779999999999,903.62,2023-10-16T19:36:00.000Z,12,2702.31,0.0,1805.89,2023-10-13T21:45:00.000Z,3,5,2023-10-16T19:36:00.000Z,false,168,false,60.0,dormant,0.1483,0.3344,1798.69
P00047,2024-01-17,organic,PT,EUR,verified,false,true,2026-07-31T12:25:18.361Z,4935.1,-709.5500000000002,2024-03-25T20:43:00.000Z,9,0.0,856.82,0.0,,0,,2024-03-25T20:43:00.000Z,false,7,false,60.0,active,-0.1438,,709.55
P00048,2023-09-02,seo,BR,BRL,pending,false,true,2026-07-31T12:25:18.361Z,6123.7,689.67,2024-01-04T14:11:00.000Z,12,4066.9500000000003,1109.7,2294.46,2023-10-04T23:40:00.000Z,3,10,2024-01-04T14:11:00.000Z,false,88,false,60.0,dormant,0.1126,0.1696,3377.28
P00049,2024-03-01,seo,BR,BRL,verified,false,true,2026-07-31T12:25:18.361Z,0.0,0.0,,0,2640.12,0.0,1774.8,2024-03-21T04:09:00.000Z,2,1,2024-03-21T04:09:00.000Z,false,11,false,60.0,active,,0.0,2640.12
P00050,2023-09-24,affiliate,BR,BRL,verified,false,true,2026-07-31T12:25:18.361Z,5584.0599999999995,-3765.000000000001,2023-10-14T03:03:00.000Z,9,5658.93,0.0,2598.94,2023-10-13T19:47:00.000Z,5,4,2023-10-14T03:03:00.000Z,false,170,true,30.0,dormant,-0.6742,-0.6653,9423.93
P00051,2024-02-26,organic,AO,USD,verified,false,true,2026-07-31T12:25:18.361Z,1448.41,1448.41,2024-03-20T10:26:00.000Z,3,3926.9400000000005,0.0,0.0,2024-03-25T00:03:00.000Z,3,8,2024-03-25T00:03:00.000Z,false,7,false,60.0,active,1.0,0.3688,2478.53
P00052,2024-01-04,influencer,PT,USD,verified,false,true,2026-07-31T12:25:18.361Z,3441.58,2447.7,2024-03-04T11:39:00.000Z,6,440.88,0.0,0.0,2024-03-17T03:13:00.000Z,1,,2024-03-17T03:13:00.000Z,false,15,false,60.0,active,0.7112,5.5519,-2006.82
P00053,2024-01-24,paid_social,BR,BRL,verified,false,true,2026-07-31T12:25:18.361Z,9963.36,-143.47999999999956,2024-03-23T19:32:00.000Z,21,4806.490000000001,645.65,0.0,2024-03-21T09:43:00.000Z,6,8,2024-03-23T19:32:00.000Z,false,9,true,30.0,active,-0.0144,-0.0299,4949.97
P00054,2023-08-13,paid_social,BR,BRL,pending,false,true,2026-07-31T12:25:18.361Z,13760.480000000001,-3890.89,2024-01-07T10:26:00.000Z,27,8015.22,0.0,1698.57,2023-11-24T14:18:00.000Z,6,9,2024-01-07T10:26:00.000Z,false,85,true,30.0,dormant,-0.2828,-0.4854,11906.11
P00055,2023-10-21,influencer,AO,USD,pending,false,true,2026-07-31T12:25:18.361Z,1348.95,-858.53,2024-02-03T03:09:00.000Z,3,2443.67,0.0,0.0,2023-12-13T04:54:00.000Z,2,38,2024-02-03T03:09:00.000Z,false,58,false,60.0,active,-0.6364,-0.3513,3302.2
P00056,2023-09-10,organic,PT,EUR,pending,false,true,2026-07-31T12:25:18.361Z,1354.63,904.8800000000001,2024-01-05T01:29:00.000Z,3,1139.83,327.64,0.0,2024-01-02T16:49:00.000Z,2,1,2024-01-05T01:29:00.000Z,false,87,false,60.0,dormant,0.668,0.7939,234.95
P00057,2024-01-08,organic,BR,BRL,verified,false,true,2026-07-31T12:25:18.361Z,11467.149999999998,-765.31,2024-01-27T01:29:00.000Z,24,4801.88,1474.79,0.0,2024-01-23T00:28:00.000Z,3,6,2024-01-27T01:29:00.000Z,false,65,false,60.0,dormant,-0.0667,-0.1594,5567.19
P00058,2023-09-29,paid_social,BR,BRL,verified,false,true,2026-07-31T12:25:18.361Z,0.0,0.0,,0,1272.04,0.0,0.0,2023-10-01T15:22:00.000Z,1,,2023-10-01T15:22:00.000Z,false,183,false,60.0,dormant,,0.0,1272.04
P00059,2023-11-08,paid_social,AO,USD,verified,true,false,2026-07-31T12:25:18.361Z,982.9599999999999,153.57999999999998,2024-01-27T05:06:00.000Z,3,2182.05,0.0,0.0,2023-12-15T08:43:00.000Z,2,21,2024-01-27T05:06:00.000Z,false,65,false,60.0,dormant,0.1562,0.0704,2028.47
P00060,2023-10-16,seo,PT,EUR,verified,false,true,2026-07-31T12:25:18.361Z,14680.740000000003,2072.13,2024-02-17T21:31:00.000Z,27,2021.3799999999999,0.0,0.0,2024-02-10T23:13:00.000Z,5,9,2024-02-17T21:31:00.000Z,false,44,true,30.0,dormant,0.1411,1.0251,-50.75
P00061,2023-09-26,seo,BR,BRL,verified,false,true,2026-07-31T12:25:18.361Z,0.0,0.0,,0,989.96,0.0,0.0,2023-12-19T01:53:00.000Z,2,24,2023-12-19T01:53:00.000Z,false,104,false,60.0,dormant,,0.0,989.96
P00062,2023-09-02,seo,AO,USD,verified,false,true,2026-07-31T12:25:18.361Z,3440.3999999999996,1982.17,2023-12-14T11:58:00.000Z,6,0.0,0.0,0.0,,0,,2023-12-14T11:58:00.000Z,false,109,false,60.0,dormant,0.5761,,-1982.17
P00063,2023-09-16,affiliate,BR,BRL,verified,false,true,2026-07-31T12:25:18.361Z,3850.03,-73.60999999999986,2023-12-20T01:42:00.000Z,12,4839.24,0.0,0.0,2023-12-10T02:05:00.000Z,4,19,2023-12-20T01:42:00.000Z,false,103,false,60.0,dormant,-0.0191,-0.0152,4912.85
P00064,2023-10-04,unknown,PT,EUR,rejected,false,false,2026-07-31T12:25:18.361Z,4081.2299999999996,-3126.3499999999995,2024-02-22T10:44:00.000Z,9,0.0,0.0,0.0,,0,,2024-02-22T10:44:00.000Z,false,39,false,60.0,active,-0.766,,3126.35
P00065,2023-08-11,affiliate,PT,EUR,verified,false,true,2026-07-31T12:25:18.361Z,3064.43,328.41999999999996,2023-09-07T00:36:00.000Z,6,0.0,0.0,0.0,,0,,2023-09-07T00:36:00.000Z,false,207,false,60.0,dormant,0.1072,,-328.42
P00066,2023-12-23,organic,AO,USD,verified,false,true,2026-07-31T12:25:18.361Z,12565.589999999998,-5760.83,2024-01-06T22:48:00.000Z,24,4871.58,0.0,232.52,2024-01-05T18:20:00.000Z,6,3,2024-01-06T22:48:00.000Z,false,86,true,30.0,dormant,-0.4585,-1.1825,10632.41
P00067,2024-02-16,paid_social,PT,EUR,pending,false,true,2026-07-31T12:25:18.361Z,2920.4,2920.4,2024-03-11T16:05:00.000Z,6,0.0,0.0,1102.73,,0,,2024-03-11T16:05:00.000Z,false,21,false,60.0,active,1.0,,-2920.4
P00068,2023-11-10,affiliate,AO,EUR,verified,false,true,2026-07-31T12:25:18.361Z,11101.91,-4638.75,2023-12-08T10:33:00.000Z,21,6998.35,482.88,1066.08,2023-12-07T05:17:00.000Z,6,5,2023-12-08T10:33:00.000Z,false,115,true,30.0,dormant,-0.4178,-0.6628,11637.1
P00069,2024-02-20,organic,AO,USD,verified,false,true,2026-07-31T12:25:18.361Z,4775.09,-3315.96,2024-02-20T23:07:00.000Z,9,83.0,1562.88,905.77,2024-02-20T00:35:00.000Z,1,,2024-02-20T23:07:00.000Z,false,41,false,60.0,active,-0.6944,-39.9513,3398.96
P00070,2024-03-05,seo,BR,BRL,verified,false,true,2026-07-31T12:25:18.361Z,4715.38,-964.0699999999999,2024-03-18T20:05:00.000Z,12,5680.530000000001,0.0,1010.22,2024-03-18T09:42:00.000Z,5,3,2024-03-18T20:05:00.000Z,false,14,true,30.0,active,-0.2045,-0.1697,6644.6
P00071,2023-09-15,organic,PT,EUR,pending,false,true,2026-07-31T12:25:18.361Z,13284.68,1768.4999999999995,2024-03-02T07:04:00.000Z,30,3931.94,4789.77,0.0,2024-03-05T14:32:00.000Z,6,5,2024-03-05T14:32:00.000Z,false,27,true,30.0,active,0.1331,0.4498,2163.44
P00072,2023-12-30,paid_social,BR,BRL,verified,false,true,2026-07-31T12:25:18.361Z,5798.17,1558.2699999999998,2024-03-01T20:14:00.000Z,12,5509.59,0.0,1702.24,2024-03-03T17:35:00.000Z,5,13,2024-03-03T17:35:00.000Z,false,29,true,33.0,active,0.2688,0.2828,3951.32
P00073,2023-11-06,organic,BR,BRL,verified,false,true,2026-07-31T12:25:18.361Z,9263.640000000001,-1190.2799999999997,2024-01-14T19:53:00.000Z,18,7251.200000000001,1000.94,1376.04,2024-02-12T08:45:00.000Z,6,7,2024-02-12T08:45:00.000Z,false,49,true,30.0,dormant,-0.1285,-0.1641,8441.48
P00074,2023-12-21,paid_social,BR,BRL,verified,false,true,2026-07-31T12:25:18.361Z,0.0,0.0,,0,0.0,0.0,0.0,,0,,,true,,false,60.0,never_converted,,,0.0
P00075,2024-01-13,paid_social,PT,EUR,verified,false,true,2026-07-31T12:25:18.361Z,10461.719999999998,-977.7499999999999,2024-03-24T10:24:00.000Z,24,5073.469999999999,0.0,901.1,2024-03-22T02:21:00.000Z,7,7,2024-03-24T10:24:00.000Z,false,8,true,30.0,active,-0.0935,-0.1927,6051.22
P00076,2023-11-03,seo,BR,BRL,verified,false,true,2026-07-31T12:25:18.361Z,3410.29,-2854.1000000000004,2024-01-13T10:39:00.000Z,6,2817.85,0.0,0.0,2024-01-07T21:12:00.000Z,2,24,2024-01-13T10:39:00.000Z,false,79,false,60.0,dormant,-0.8369,-1.0129,5671.95
P00077,2023-10-04,organic,BR,BRL,verified,false,true,2026-07-31T12:25:18.361Z,7456.6900000000005,-2897.22,2023-11-26T12:39:00.000Z,15,1370.35,0.0,1666.06,2023-11-14T00:45:00.000Z,2,1,2023-11-26T12:39:00.000Z,false,127,false,60.0,dormant,-0.3885,-2.1142,4267.57
P00078,2024-02-06,influencer,BR,BRL,rejected,false,false,2026-07-31T12:25:18.361Z,14062.94,-9144.12,2024-02-29T02:51:00.000Z,30,9434.609999999999,0.0,0.0,2024-02-29T22:09:00.000Z,9,2,2024-02-29T22:09:00.000Z,false,32,true,30.0,dormant,-0.6502,-0.9692,18578.73
P00079,2023-09-15,affiliate,BR,BRL,rejected,false,false,2026-07-31T12:25:18.361Z,2839.32,1263.07,2023-10-17T18:35:00.000Z,6,0.0,0.0,0.0,,0,,2023-10-17T18:35:00.000Z,false,167,false,60.0,dormant,0.4448,,-1263.07
P00080,2024-01-11,paid_social,PT,EUR,verified,false,true,2026-07-31T12:25:18.361Z,0.0,0.0,,0,1119.9,0.0,0.0,2024-01-11T22:19:00.000Z,1,,2024-01-11T22:19:00.000Z,false,81,false,60.0,dormant,,0.0,1119.9
P00081,2023-10-04,paid_social,AO,USD,verified,false,true,2026-07-31T12:25:18.361Z,16004.409999999994,6673.939999999998,2023-11-09T11:03:00.000Z,30,3059.2000000000003,1887.64,1830.09,2023-10-25T04:04:00.000Z,4,7,2023-11-09T11:03:00.000Z,false,144,false,60.0,dormant,0.417,2.1816,-3614.74
P00082,2024-02-24,affiliate,BR,BRL,verified,false,true,2026-07-31T12:25:18.361Z,11435.799999999997,866.0200000000006,2024-03-09T01:07:00.000Z,27,4185.59,1625.01,0.0,2024-03-08T16:40:00.000Z,4,1,2024-03-09T01:07:00.000Z,false,23,false,60.0,active,0.0757,0.2069,3319.57
P00083,2024-02-15,seo,BR,BRL,verified,false,true,2026-07-31T12:25:18.361Z,0.0,0.0,,0,0.0,0.0,0.0,,0,,,true,,false,60.0,never_converted,,,0.0
P00084,2024-01-04,affiliate,AO,BRL,verified,false,true,2026-07-31T12:25:18.361Z,0.0,0.0,,0,0.0,0.0,0.0,,0,,,true,,false,60.0,never_converted,,,0.0
P00085,2023-08-01,seo,BR,BRL,verified,false,true,2026-07-31T12:25:18.361Z,7356.150000000001,323.1100000000002,2023-11-12T21:24:00.000Z,15,1999.79,0.0,0.0,2023-11-17T07:37:00.000Z,3,25,2023-11-17T07:37:00.000Z,false,136,false,60.0,dormant,0.0439,0.1616,1676.68
P00086,2023-08-19,influencer,BR,BRL,pending,false,true,2026-07-31T12:25:18.361Z,0.0,0.0,,0,2668.05,0.0,0.0,2023-10-19T02:32:00.000Z,2,27,2023-10-19T02:32:00.000Z,false,165,false,60.0,dormant,,0.0,2668.05
P00087,2023-09-08,unknown,AO,USD,verified,false,true,2026-07-31T12:25:18.361Z,256.92,-106.43,2023-11-10T02:38:00.000Z,3,1154.62,0.0,0.0,2023-11-04T20:09:00.000Z,1,,2023-11-10T02:38:00.000Z,false,143,false,60.0,dormant,-0.4143,-0.0922,1261.05
P00088,2023-11-21,seo,BR,BRL,verified,false,true,2026-07-31T12:25:18.361Z,4417.81,1193.9599999999998,2023-12-01T21:03:00.000Z,9,2720.64,0.0,0.0,2023-11-26T03:42:00.000Z,3,2,2023-12-01T21:03:00.000Z,false,122,false,60.0,dormant,0.2703,0.4389,1526.68
P00089,2024-03-15,unknown,BR,BRL,verified,false,true,2026-07-31T12:25:18.361Z,14608.990000000003,4107.4,2024-03-15T22:37:00.000Z,30,5089.32,0.0,783.84,2024-03-15T10:08:00.000Z,6,0,2024-03-15T22:37:00.000Z,false,17,true,30.0,active,0.2812,0.8071,981.92
